name,source,type,category,power,accuracy,pp
Last Respects,lv. Evolve,ghost,physical,50,100,10
Tackle,nature,normal,physical,40,100,35
Growl,nature,normal,other,--,100,40
Lick,lv. 3,ghost,physical,30,100,30
Tail Whip,lv. 6,normal,other,--,100,30
Bite,lv. 6,dark,physical,60,100,25
Roar,lv. 9,normal,other,--,101,20
Headbutt,lv. 12,normal,physical,70,100,15
Dig,lv. 16,ground,physical,80,100,10
Rest,lv. 24,psychic,other,--,101,5
Crunch,lv. 28,dark,physical,80,100,15
Play Rough,lv. 36,fairy,physical,90,90,10
Helping Hand,lv. 41,normal,other,--,101,20
Phantom Force,lv. 46,ghost,physical,90,100,10
Charm,lv. 51,fairy,other,--,100,20
Double-Edge,lv. 58,normal,physical,120,100,15
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Mud-Slap,TM005,ground,special,20,100,10
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Fire Fang,TM008,fire,physical,65,95,15
Thunder Fang,TM009,electric,physical,65,95,15
Ice Fang,TM010,ice,physical,65,95,15
Confuse Ray,TM017,ghost,other,--,100,10
Thief,TM018,dark,physical,60,100,25
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Hex,TM029,ghost,special,65,100,10
Snarl,TM030,dark,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Night Shade,TM042,ghost,special,??,100,15
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Dig,TM055,ground,physical,80,100,10
Psychic Fangs,TM063,psychic,physical,85,100,10
Sleep Talk,TM070,normal,other,--,101,10
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Body Press,TM089,fighting,physical,80,100,10
Substitute,TM103,normal,other,--,101,10
Will-O-Wisp,TM107,fire,other,--,85,15
Crunch,TM108,dark,physical,80,100,15
Trick,TM109,psychic,other,--,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Phantom Force,TM151,ghost,physical,90,100,10
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Uproar,TM191,normal,special,90,100,10
Poltergeist,TM198,ghost,physical,110,90,5
Pain Split,TM202,normal,other,--,101,20
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
