name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Bite,nature,dark,physical,60,100,25
Dragon Breath,nature,dragon,special,60,100,20
Focus Energy,nature,normal,other,--,101,30
Tri Attack,nature,normal,special,80,100,10
Double Hit,nature,normal,physical,35,90,10
Roar,lv. 12,normal,other,--,101,20
Assurance,lv. 16,dark,physical,60,100,10
Headbutt,lv. 20,normal,physical,70,100,15
Work Up,lv. 24,normal,other,--,101,30
Slam,lv. 28,normal,physical,80,75,20
Crunch,lv. 32,dark,physical,80,100,15
Scary Face,lv. 36,normal,other,--,100,10
Dragon Pulse,lv. 40,dragon,special,85,100,10
Body Slam,lv. 44,normal,physical,85,100,15
Hyper Voice,lv. 48,normal,special,90,100,10
Dragon Rush,lv. 54,dragon,physical,100,75,10
Nasty Plot,lv. 60,dark,other,--,101,20
Outrage,lv. 68,dragon,physical,120,100,10
Hyper Beam,lv. 76,normal,special,150,90,5
Take Down,TM001,normal,physical,90,85,20
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Fire Fang,TM008,fire,physical,65,95,15
Thunder Fang,TM009,electric,physical,65,95,15
Ice Fang,TM010,ice,physical,65,95,15
Acrobatics,TM014,flying,physical,55,100,15
Thief,TM018,dark,physical,60,100,25
Fire Spin,TM024,fire,special,35,85,15
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Snarl,TM030,dark,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Dragon Tail,TM044,dragon,physical,60,90,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Zen Headbutt,TM059,psychic,physical,80,90,15
U-turn,TM060,bug,physical,70,100,20
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Reflect,TM074,psychic,other,--,101,20
Thunder Wave,TM082,electric,other,--,90,20
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Taunt,TM087,dark,other,--,100,20
Flash Cannon,TM093,steel,special,80,100,10
Dark Pulse,TM094,dark,special,80,100,15
Fly,TM097,flying,physical,90,95,15
Dragon Dance,TM100,dragon,other,--,101,20
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Tailwind,TM113,flying,other,--,101,15
Dragon Pulse,TM115,dragon,special,85,100,10
Stealth Rock,TM116,rock,other,--,101,20
Hyper Voice,TM117,normal,special,90,100,10
Heat Wave,TM118,fire,special,95,90,10
Surf,TM123,water,special,90,100,15
Flamethrower,TM125,fire,special,90,100,15
Helping Hand,TM130,normal,other,--,101,20
Earth Power,TM133,ground,special,90,100,10
Nasty Plot,TM140,dark,other,--,101,20
Fire Blast,TM141,fire,special,110,85,5
Hydro Pump,TM142,water,special,110,80,5
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Giga Impact,TM152,normal,physical,150,90,5
Outrage,TM156,dragon,physical,120,100,10
Focus Blast,TM158,fighting,special,120,70,5
Hyper Beam,TM163,normal,special,150,90,5
Draco Meteor,TM169,dragon,special,130,90,5
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Spite,TM177,ghost,other,--,100,10
Dual Wingbeat,TM197,flying,physical,40,90,10
Lash Out,TM199,dark,physical,75,100,5
Scale Shot,TM200,dragon,physical,25,90,20
Psych Up,TM203,normal,other,--,101,10
Throat Chop,TM221,dark,physical,80,100,15
Breaking Swipe,TM222,dragon,physical,60,100,15
Dragon Cheer,TM226,dragon,other,--,101,15
