name,source,type,category,power,accuracy,pp
Stored Power,nature,psychic,special,20,100,10
Play Nice,nature,normal,other,--,101,20
Encore,lv. 5,normal,other,--,100,5
Disarming Voice,lv. 10,fairy,special,40,101,15
Psybeam,lv. 15,psychic,special,65,100,20
Helping Hand,lv. 20,normal,other,--,101,20
After You,lv. 25,normal,other,--,101,15
Healing Wish,lv. 30,psychic,other,--,101,10
Psychic,lv. 35,psychic,special,90,100,10
Calm Mind,lv. 40,psychic,other,--,101,20
Power Split,lv. 45,psychic,other,--,101,10
Psychic Terrain,lv. 50,psychic,other,--,101,10
Last Resort,lv. 55,normal,physical,140,100,5
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Protect,TM007,normal,other,--,101,10
Psybeam,TM016,psychic,special,65,100,20
Disarming Voice,TM019,fairy,special,40,101,15
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Magical Leaf,TM033,grass,special,60,101,20
Draining Kiss,TM037,fairy,special,50,100,10
Stored Power,TM041,psychic,special,20,100,10
Endure,TM047,normal,other,--,101,10
Psyshock,TM054,psychic,special,80,100,10
Zen Headbutt,TM059,psychic,physical,80,90,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Drain Punch,TM073,fighting,physical,75,100,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Dazzling Gleam,TM079,fairy,special,80,100,10
Metronome,TM080,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Imprison,TM092,psychic,other,--,101,10
Skill Swap,TM098,psychic,other,--,101,10
Substitute,TM103,normal,other,--,101,10
Trick,TM109,psychic,other,--,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Energy Ball,TM119,grass,special,90,100,10
Psychic,TM120,psychic,special,90,100,10
Encore,TM122,normal,other,--,100,5
Play Rough,TM127,fairy,physical,90,90,10
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Psychic Terrain,TM138,psychic,other,--,101,10
Trick Room,TM161,psychic,other,--,101,5
Tera Blast,TM171,normal,special,80,100,10
Gravity,TM178,psychic,other,--,101,5
Psych Up,TM203,normal,other,--,101,10
Expanding Force,TM218,psychic,special,80,100,10
Alluring Voice,TM227,fairy,special,80,100,10
Psychic Noise,TM228,psychic,special,75,100,10
