name,source,type,category,power,accuracy,pp
Present,nature,normal,physical,??,90,15
Powder Snow,lv. 7,ice,special,40,100,25
Whirlpool,lv. 14,water,special,35,85,15
Take Down,lv. 21,normal,physical,90,85,20
Drill Peck,lv. 28,flying,physical,80,100,20
Helping Hand,lv. 35,normal,other,--,101,20
Freeze-Dry,lv. 42,ice,special,70,100,20
Flip Turn,lv. 49,water,physical,60,100,20
Ice Beam,lv. 56,ice,special,90,100,10
Agility,lv. 63,psychic,other,--,101,30
Snowscape,lv. 70,ice,other,--,101,10
Hydro Pump,lv. 77,water,special,110,80,5
Aurora Veil,lv. 84,ice,other,--,101,20
Blizzard,lv. 91,ice,special,110,70,5
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Water Pulse,TM011,water,special,60,100,20
Acrobatics,TM014,flying,physical,55,100,15
Thief,TM018,dark,physical,60,100,25
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Air Cutter,TM040,flying,special,60,95,25
Fling,TM043,dark,physical,??,100,10
Avalanche,TM046,ice,physical,60,100,10
Endure,TM047,normal,other,--,101,10
Rain Dance,TM050,water,other,--,101,5
Snowscape,TM052,ice,other,--,101,10
U-turn,TM060,bug,physical,70,100,20
Body Slam,TM066,normal,physical,85,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Substitute,TM103,normal,other,--,101,10
Encore,TM122,normal,other,--,100,5
Ice Spinner,TM124,ice,physical,80,100,15
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Ice Beam,TM135,ice,special,90,100,10
Electric Terrain,TM136,electric,other,--,101,10
Hydro Pump,TM142,water,special,110,80,5
Blizzard,TM143,ice,special,110,70,5
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Flip Turn,TM196,water,physical,60,100,20
Whirlpool,TM208,water,special,35,85,15
