name,source,type,category,power,accuracy,pp
Sand Attack,nature,ground,other,--,100,15
Tackle,nature,normal,physical,40,100,35
Focus Energy,nature,normal,other,--,101,30
Arm Thrust,nature,fighting,physical,15,100,20
Fake Out,lv. 7,normal,physical,40,100,10
Whirlwind,lv. 14,normal,other,--,101,20
Thunder Punch,lv. 21,electric,physical,75,100,15
Slam,lv. 28,normal,physical,80,75,20
Force Palm,lv. 35,fighting,physical,60,100,10
Seismic Toss,lv. 42,fighting,physical,??,100,20
Charge,lv. 49,electric,other,--,101,20
Wild Charge,lv. 56,electric,physical,90,100,15
Close Combat,lv. 63,fighting,physical,120,100,5
Detect,lv. 70,fighting,other,--,101,5
Heavy Slam,lv. 77,steel,physical,??,100,10
Belly Drum,lv. 84,normal,other,--,101,10
Focus Punch,lv. 91,fighting,physical,150,100,20
Take Down,TM001,normal,physical,90,85,20
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Rock Tomb,TM036,rock,physical,60,95,15
Low Sweep,TM039,fighting,physical,65,100,20
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Volt Switch,TM048,electric,special,70,100,20
Brick Break,TM058,fighting,physical,75,100,15
Body Slam,TM066,normal,physical,85,100,15
Fire Punch,TM067,fire,physical,75,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Drain Punch,TM073,fighting,physical,75,100,10
Metronome,TM080,normal,other,--,101,10
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Swords Dance,TM088,normal,other,--,101,20
Body Press,TM089,fighting,physical,80,100,10
Iron Head,TM099,steel,physical,80,100,15
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Heavy Slam,TM121,steel,physical,??,100,10
Thunderbolt,TM126,electric,special,90,100,15
Play Rough,TM127,fairy,physical,90,90,10
Reversal,TM134,fighting,physical,??,100,15
Electric Terrain,TM136,electric,other,--,101,10
Wild Charge,TM147,electric,physical,90,100,15
Earthquake,TM149,ground,physical,100,100,10
Giga Impact,TM152,normal,physical,150,90,5
Focus Blast,TM158,fighting,special,120,70,5
Hyper Beam,TM163,normal,special,150,90,5
Thunder,TM166,electric,special,110,70,10
Close Combat,TM167,fighting,physical,120,100,5
Tera Blast,TM171,normal,special,80,100,10
Charge,TM173,electric,other,--,101,20
Focus Punch,TM192,fighting,physical,150,100,20
Double-Edge,TM204,normal,physical,120,100,15
Supercell Slam,TM210,electric,physical,100,95,15
Hard Press,TM225,steel,physical,??,100,10
