name,source,type,category,power,accuracy,pp
Horn Attack,nature,normal,physical,65,100,25
Defense Curl,nature,normal,other,--,101,40
Rollout,nature,rock,physical,30,90,20
Electric Terrain,nature,electric,other,--,101,10
Bulldoze,lv. 7,ground,physical,60,100,20
Rapid Spin,lv. 21,normal,physical,50,100,40
Iron Head,lv. 28,steel,physical,80,100,15
Stomping Tantrum,lv. 35,ground,physical,75,100,10
Knock Off,lv. 42,dark,physical,65,100,20
Earthquake,lv. 49,ground,physical,100,100,10
Heavy Slam,lv. 56,steel,physical,??,100,10
Wild Charge,lv. 63,electric,physical,90,100,15
Endeavor,lv. 70,normal,physical,??,100,5
Megahorn,lv. 77,bug,physical,120,85,10
Giga Impact,lv. 84,normal,physical,150,90,5
Steel Roller,lv. 91,steel,physical,130,100,5
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Thunder Fang,TM009,electric,physical,65,95,15
Ice Fang,TM010,ice,physical,65,95,15
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Mud Shot,TM035,ground,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Volt Switch,TM048,electric,special,70,100,20
Sandstorm,TM051,rock,other,--,101,10
Smart Strike,TM053,steel,physical,70,101,10
Zen Headbutt,TM059,psychic,physical,80,90,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Electro Ball,TM072,electric,special,??,100,10
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Body Press,TM089,fighting,physical,80,100,10
Flash Cannon,TM093,steel,special,80,100,10
Iron Head,TM099,steel,physical,80,100,15
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Stealth Rock,TM116,rock,other,--,101,20
Heavy Slam,TM121,steel,physical,??,100,10
Ice Spinner,TM124,ice,physical,80,100,15
Earth Power,TM133,ground,special,90,100,10
Electric Terrain,TM136,electric,other,--,101,10
Wild Charge,TM147,electric,physical,90,100,15
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Thunder,TM166,electric,special,110,70,10
Steel Beam,TM170,steel,special,140,95,5
Tera Blast,TM171,normal,special,80,100,10
Gyro Ball,TM180,steel,physical,??,100,5
Knock Off,TM181,dark,physical,65,100,20
High Horsepower,TM186,ground,physical,95,95,10
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Supercell Slam,TM210,electric,physical,100,95,15
Metal Sound,TM223,steel,other,--,85,40
Hard Press,TM225,steel,physical,??,100,10
