name,source,type,category,power,accuracy,pp
Thunder Shock,lv. Evolve,electric,special,40,100,30
Baton Pass,nature,normal,other,--,101,40
Swift,nature,normal,special,60,101,20
Helping Hand,nature,normal,other,--,101,20
Covet,nature,normal,physical,60,100,25
Charm,nature,fairy,other,--,100,20
Bite,nature,dark,physical,60,100,25
Growl,nature,normal,other,--,100,40
Tail Whip,nature,normal,other,--,100,30
Double-Edge,nature,normal,physical,120,100,15
Take Down,nature,normal,physical,90,85,20
Tackle,nature,normal,physical,40,100,35
Copycat,nature,normal,other,--,101,20
Sand Attack,lv. 5,ground,other,--,100,15
Quick Attack,lv. 10,normal,physical,40,100,30
Baby-Doll Eyes,lv. 15,fairy,other,--,100,30
Thunder Wave,lv. 20,electric,other,--,90,20
Double Kick,lv. 25,fighting,physical,30,100,30
Thunder Fang,lv. 30,electric,physical,65,95,15
Pin Missile,lv. 35,bug,physical,25,95,20
Discharge,lv. 40,electric,special,80,100,15
Agility,lv. 45,psychic,other,--,101,30
Thunder,lv. 50,electric,special,110,70,10
Last Resort,lv. 55,normal,physical,140,100,5
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Fake Tears,TM003,dark,other,--,100,20
Agility,TM004,psychic,other,--,101,30
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Thunder Fang,TM009,electric,physical,65,95,15
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Stored Power,TM041,psychic,special,20,100,10
Endure,TM047,normal,other,--,101,10
Volt Switch,TM048,electric,special,70,100,20
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
False Swipe,TM057,normal,physical,40,100,40
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Electro Ball,TM072,electric,special,??,100,10
Light Screen,TM075,psychic,other,--,101,30
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Eerie Impulse,TM096,electric,other,--,100,15
Substitute,TM103,normal,other,--,101,10
Shadow Ball,TM114,ghost,special,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Thunderbolt,TM126,electric,special,90,100,15
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Electric Terrain,TM136,electric,other,--,101,10
Wild Charge,TM147,electric,physical,90,100,15
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Thunder,TM166,electric,special,110,70,10
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Charge,TM173,electric,other,--,101,20
Weather Ball,TM193,normal,special,50,100,10
Double-Edge,TM204,normal,physical,120,100,15
Electroweb,TM211,electric,special,55,95,15
Metal Sound,TM223,steel,other,--,85,40
Curse,TM224,ghost,other,--,101,10
Alluring Voice,TM227,fairy,special,80,100,10
