name,source,type,category,power,accuracy,pp
Electro Ball,lv. Evolve,electric,special,??,100,10
Growl,nature,normal,other,--,100,40
Peck,nature,flying,physical,35,100,35
Thunder Shock,lv. 4,electric,special,40,100,30
Quick Attack,lv. 7,normal,physical,40,100,30
Pluck,lv. 11,flying,physical,60,100,20
Spark,lv. 15,electric,physical,65,100,20
Uproar,lv. 19,normal,special,90,100,10
Roost,lv. 24,flying,other,--,101,5
Dual Wingbeat,lv. 30,flying,physical,40,90,10
Agility,lv. 36,psychic,other,--,101,30
Volt Switch,lv. 43,electric,special,70,100,20
Discharge,lv. 48,electric,special,80,100,15
Hurricane,lv. 55,flying,special,110,70,10
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Acrobatics,TM014,flying,physical,55,100,15
Charge Beam,TM023,electric,special,50,90,10
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Swift,TM032,normal,special,60,101,20
Air Cutter,TM040,flying,special,60,95,25
Endure,TM047,normal,other,--,101,10
Volt Switch,TM048,electric,special,70,100,20
U-turn,TM060,bug,physical,70,100,20
Air Slash,TM065,flying,special,75,95,15
Sleep Talk,TM070,normal,other,--,101,10
Electro Ball,TM072,electric,special,??,100,10
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Eerie Impulse,TM096,electric,other,--,100,15
Fly,TM097,flying,physical,90,95,15
Substitute,TM103,normal,other,--,101,10
Tailwind,TM113,flying,other,--,101,15
Thunderbolt,TM126,electric,special,90,100,15
Electric Terrain,TM136,electric,other,--,101,10
Wild Charge,TM147,electric,physical,90,100,15
Giga Impact,TM152,normal,physical,150,90,5
Hurricane,TM160,flying,special,110,70,10
Hyper Beam,TM163,normal,special,150,90,5
Brave Bird,TM164,flying,physical,120,100,15
Thunder,TM166,electric,special,110,70,10
Tera Blast,TM171,normal,special,80,100,10
Charge,TM173,electric,other,--,101,20
Uproar,TM191,normal,special,90,100,10
Weather Ball,TM193,normal,special,50,100,10
Dual Wingbeat,TM197,flying,physical,40,90,10
Endeavor,TM205,normal,physical,??,100,5
Supercell Slam,TM210,electric,physical,100,95,15
Electroweb,TM211,electric,special,55,95,15
Feather Dance,TM216,flying,other,--,100,15
