name,source,type,category,power,accuracy,pp
Vise Grip,nature,normal,physical,55,100,30
Rock Throw,nature,rock,physical,50,90,15
Harden,lv. 6,normal,other,--,101,30
Rock Smash,lv. 9,fighting,physical,40,100,15
Rock Tomb,lv. 13,rock,physical,60,95,15
Metal Claw,lv. 17,steel,physical,50,95,35
Protect,lv. 21,normal,other,--,101,10
Rock Blast,lv. 24,rock,physical,25,90,10
X-Scissor,lv. 29,bug,physical,80,100,15
Swords Dance,lv. 33,normal,other,--,101,20
Flail,lv. 37,normal,physical,??,100,15
Rock Slide,lv. 42,rock,physical,75,90,10
High Horsepower,lv. 47,ground,physical,95,95,10
Iron Defense,lv. 51,steel,other,--,101,15
Guillotine,lv. 56,normal,physical,??,30,5
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Metal Claw,TM031,steel,physical,50,95,35
Mud Shot,TM035,ground,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Dig,TM055,ground,physical,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Shadow Claw,TM061,ghost,physical,70,100,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Rock Blast,TM076,rock,physical,25,90,10
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Swords Dance,TM088,normal,other,--,101,20
Power Gem,TM101,rock,special,80,100,20
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
X-Scissor,TM105,bug,physical,80,100,15
Stealth Rock,TM116,rock,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Earth Power,TM133,ground,special,90,100,10
Reversal,TM134,fighting,physical,??,100,15
Stone Edge,TM150,rock,physical,100,80,5
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Smack Down,TM179,rock,physical,50,100,15
Knock Off,TM181,dark,physical,65,100,20
High Horsepower,TM186,ground,physical,95,95,10
Endeavor,TM205,normal,physical,??,100,5
Temper Flare,TM207,fire,physical,75,100,10
Skitter Smack,TM219,bug,physical,70,90,10
Meteor Beam,TM220,rock,special,120,90,10
Throat Chop,TM221,dark,physical,80,100,15
