name,source,type,category,power,accuracy,pp
Astonish,nature,ghost,physical,30,100,15
Tackle,lv. 4,normal,physical,40,100,35
Fairy Wind,lv. 8,fairy,special,40,100,30
Torment,lv. 12,dark,other,--,100,15
Fairy Lock,lv. 16,fairy,other,--,101,10
Metal Sound,lv. 20,steel,other,--,85,40
Draining Kiss,lv. 24,fairy,special,50,100,10
Recycle,lv. 28,normal,other,--,101,10
Imprison,lv. 32,psychic,other,--,101,10
Flash Cannon,lv. 36,steel,special,80,100,10
Play Rough,lv. 40,fairy,physical,90,90,10
Magic Room,lv. 44,psychic,other,--,101,10
Foul Play,lv. 48,dark,physical,95,100,15
Last Resort,lv. 52,normal,physical,140,100,5
Protect,TM007,normal,other,--,101,10
Thief,TM018,dark,physical,60,100,25
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Draining Kiss,TM037,fairy,special,50,100,10
Stored Power,TM041,psychic,special,20,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Psyshock,TM054,psychic,special,80,100,10
Foul Play,TM062,dark,physical,95,100,15
Sleep Talk,TM070,normal,other,--,101,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Dazzling Gleam,TM079,fairy,special,80,100,10
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Spikes,TM090,ground,other,--,101,20
Imprison,TM092,psychic,other,--,101,10
Flash Cannon,TM093,steel,special,80,100,10
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Psychic,TM120,psychic,special,90,100,10
Play Rough,TM127,fairy,physical,90,90,10
Calm Mind,TM129,psychic,other,--,101,20
Misty Terrain,TM139,fairy,other,--,101,10
Giga Impact,TM152,normal,physical,150,90,5
Trick Room,TM161,psychic,other,--,101,5
Hyper Beam,TM163,normal,special,150,90,5
Steel Beam,TM170,steel,special,140,95,5
Tera Blast,TM171,normal,special,80,100,10
Psych Up,TM203,normal,other,--,101,10
Skitter Smack,TM219,bug,physical,70,90,10
Metal Sound,TM223,steel,other,--,85,40
