name,source,type,category,power,accuracy,pp
Sunny Day,nature,fire,other,--,101,5
Breaking Swipe,nature,dragon,physical,60,100,15
Rock Smash,lv. 7,fighting,physical,40,100,15
Ancient Power,lv. 14,rock,special,60,100,5
Drain Punch,lv. 21,fighting,physical,75,100,10
Brick Break,lv. 28,fighting,physical,75,100,15
Agility,lv. 35,psychic,other,--,101,30
Dragon Claw,lv. 42,dragon,physical,80,100,15
Flamethrower,lv. 49,fire,special,90,100,15
Collision Course,lv. 56,fighting,physical,100,100,5
Screech,lv. 63,normal,other,--,85,40
Counter,lv. 70,fighting,physical,??,100,20
Outrage,lv. 77,dragon,physical,120,100,10
Close Combat,lv. 84,fighting,physical,120,100,5
Flare Blitz,lv. 91,fire,physical,120,100,15
Giga Impact,lv. 98,normal,physical,150,90,5
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Mud-Slap,TM005,ground,special,20,100,10
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Fire Fang,TM008,fire,physical,65,95,15
Thunder Fang,TM009,electric,physical,65,95,15
Ice Fang,TM010,ice,physical,65,95,15
Low Kick,TM012,fighting,physical,??,100,20
Acrobatics,TM014,flying,physical,55,100,15
Fire Spin,TM024,fire,special,35,85,15
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Snarl,TM030,dark,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Flame Charge,TM038,fire,physical,50,100,20
Low Sweep,TM039,fighting,physical,65,100,20
Dragon Tail,TM044,dragon,physical,60,90,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Zen Headbutt,TM059,psychic,physical,80,90,15
U-turn,TM060,bug,physical,70,100,20
Shadow Claw,TM061,ghost,physical,70,100,15
Bulk Up,TM064,fighting,other,--,101,20
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Drain Punch,TM073,fighting,physical,75,100,10
Dragon Claw,TM078,dragon,physical,80,100,15
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Swords Dance,TM088,normal,other,--,101,20
Body Press,TM089,fighting,physical,80,100,10
Iron Head,TM099,steel,physical,80,100,15
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Dragon Pulse,TM115,dragon,special,85,100,10
Heat Wave,TM118,fire,special,95,90,10
Heavy Slam,TM121,steel,physical,??,100,10
Flamethrower,TM125,fire,special,90,100,15
Helping Hand,TM130,normal,other,--,101,20
Reversal,TM134,fighting,physical,??,100,15
Fire Blast,TM141,fire,special,110,85,5
Wild Charge,TM147,electric,physical,90,100,15
Giga Impact,TM152,normal,physical,150,90,5
Outrage,TM156,dragon,physical,120,100,10
Overheat,TM157,fire,special,130,90,5
Focus Blast,TM158,fighting,special,120,70,5
Hyper Beam,TM163,normal,special,150,90,5
Flare Blitz,TM165,fire,physical,120,100,15
Close Combat,TM167,fighting,physical,120,100,5
Solar Beam,TM168,grass,special,120,100,10
Draco Meteor,TM169,dragon,special,130,90,5
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Heat Crash,TM189,fire,physical,??,100,10
Uproar,TM191,normal,special,90,100,10
Focus Punch,TM192,fighting,physical,150,100,20
Dual Wingbeat,TM197,flying,physical,40,90,10
Scale Shot,TM200,dragon,physical,25,90,20
Double-Edge,TM204,normal,physical,120,100,15
Temper Flare,TM207,fire,physical,75,100,10
Meteor Beam,TM220,rock,special,120,90,10
Breaking Swipe,TM222,dragon,physical,60,100,15
Dragon Cheer,TM226,dragon,other,--,101,15
