name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Leer,nature,normal,other,--,100,30
Rock Throw,lv. 3,rock,physical,50,90,15
Payback,lv. 6,dark,physical,50,100,10
Bite,lv. 9,dark,physical,60,100,25
Scary Face,lv. 12,normal,other,--,100,10
Rock Slide,lv. 15,rock,physical,75,90,10
Stomping Tantrum,lv. 18,ground,physical,75,100,10
Screech,lv. 21,normal,other,--,85,40
Smack Down,lv. 24,rock,physical,50,100,15
Crunch,lv. 27,dark,physical,80,100,15
Earthquake,lv. 31,ground,physical,100,100,10
Stone Edge,lv. 33,rock,physical,100,80,5
Thrash,lv. 36,normal,physical,120,100,10
Sandstorm,lv. 39,rock,other,--,101,10
Hyper Beam,lv. 42,normal,special,150,90,5
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Snarl,TM030,dark,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Dig,TM055,ground,physical,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Rock Blast,TM076,rock,physical,25,90,10
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Taunt,TM087,dark,other,--,100,20
Dark Pulse,TM094,dark,special,80,100,15
Iron Head,TM099,steel,physical,80,100,15
Dragon Dance,TM100,dragon,other,--,101,20
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Crunch,TM108,dark,physical,80,100,15
Stealth Rock,TM116,rock,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Earth Power,TM133,ground,special,90,100,10
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Giga Impact,TM152,normal,physical,150,90,5
Outrage,TM156,dragon,physical,120,100,10
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Sand Tomb,TM176,ground,physical,35,85,15
Spite,TM177,ghost,other,--,100,10
Smack Down,TM179,rock,physical,50,100,15
Double-Edge,TM204,normal,physical,120,100,15
Curse,TM224,ghost,other,--,101,10
