name,source,type,category,power,accuracy,pp
Razor Leaf,lv. Evolve,grass,physical,55,95,25
Swift,nature,normal,special,60,101,20
Tackle,nature,normal,physical,40,100,35
Take Down,nature,normal,physical,90,85,20
Double-Edge,nature,normal,physical,120,100,15
Tail Whip,nature,normal,other,--,100,30
Bite,nature,dark,physical,60,100,25
Growl,nature,normal,other,--,100,40
Copycat,nature,normal,other,--,101,20
Covet,nature,normal,physical,60,100,25
Helping Hand,nature,normal,other,--,101,20
Charm,nature,fairy,other,--,100,20
Baton Pass,nature,normal,other,--,101,40
Sand Attack,lv. 5,ground,other,--,100,15
Quick Attack,lv. 10,normal,physical,40,100,30
Baby-Doll Eyes,lv. 15,fairy,other,--,100,30
Leech Seed,lv. 20,grass,other,--,90,10
Magical Leaf,lv. 25,grass,special,60,101,20
Synthesis,lv. 30,grass,other,--,101,5
Sunny Day,lv. 35,fire,other,--,101,5
Giga Drain,lv. 40,grass,special,75,100,10
Swords Dance,lv. 45,normal,other,--,101,20
Leaf Blade,lv. 50,grass,physical,90,100,15
Last Resort,lv. 55,normal,physical,140,100,5
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Fake Tears,TM003,dark,other,--,100,20
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Swift,TM032,normal,special,60,101,20
Magical Leaf,TM033,grass,special,60,101,20
Mud Shot,TM035,ground,special,55,95,15
Stored Power,TM041,psychic,special,20,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Bullet Seed,TM056,grass,physical,25,100,30
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Grass Knot,TM081,grass,special,??,100,20
Rest,TM085,psychic,other,--,101,5
Swords Dance,TM088,normal,other,--,101,20
Substitute,TM103,normal,other,--,101,10
X-Scissor,TM105,bug,physical,80,100,15
Giga Drain,TM111,grass,special,75,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Energy Ball,TM119,grass,special,90,100,10
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Giga Impact,TM152,normal,physical,150,90,5
Leaf Storm,TM159,grass,special,130,90,5
Hyper Beam,TM163,normal,special,150,90,5
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Knock Off,TM181,dark,physical,65,100,20
Solar Blade,TM190,grass,physical,125,100,10
Weather Ball,TM193,normal,special,50,100,10
Grassy Glide,TM194,grass,physical,55,100,20
Double-Edge,TM204,normal,physical,120,100,15
Curse,TM224,ghost,other,--,101,10
Alluring Voice,TM227,fairy,special,80,100,10
