name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Tail Whip,nature,normal,other,--,100,30
Disarming Voice,lv. 5,fairy,special,40,101,15
Echoed Voice,lv. 8,normal,special,40,100,15
Mud Shot,lv. 12,ground,special,55,95,15
Covet,lv. 15,normal,physical,60,100,25
Dig,lv. 17,ground,physical,80,100,10
Headbutt,lv. 21,normal,physical,70,100,15
Yawn,lv. 24,normal,other,--,101,10
Take Down,lv. 27,normal,physical,90,85,20
Work Up,lv. 30,normal,other,--,101,30
Uproar,lv. 32,normal,special,90,100,10
Double-Edge,lv. 35,normal,physical,120,100,15
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Thief,TM018,dark,physical,60,100,25
Disarming Voice,TM019,fairy,special,40,101,15
Trailblaze,TM020,grass,physical,50,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Mud Shot,TM035,ground,special,55,95,15
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Bullet Seed,TM056,grass,physical,25,100,30
Zen Headbutt,TM059,psychic,physical,80,90,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Rest,TM085,psychic,other,--,101,5
Iron Head,TM099,steel,physical,80,100,15
Substitute,TM103,normal,other,--,101,10
Hyper Voice,TM117,normal,special,90,100,10
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Tera Blast,TM171,normal,special,80,100,10
Super Fang,TM183,normal,physical,??,90,10
Uproar,TM191,normal,special,90,100,10
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Curse,TM224,ghost,other,--,101,10
