name,source,type,category,power,accuracy,pp
Petal Dance,lv. Evolve,grass,special,120,100,10
Petal Blizzard,nature,grass,physical,90,100,15
Entrainment,nature,normal,other,--,100,15
Quiver Dance,nature,bug,other,--,101,20
Leaf Storm,nature,grass,special,130,90,5
Energy Ball,nature,grass,special,90,100,10
Teeter Dance,nature,normal,other,--,100,20
Helping Hand,nature,normal,other,--,101,20
Sunny Day,nature,fire,other,--,101,5
Synthesis,nature,grass,other,--,101,5
Charm,nature,fairy,other,--,100,20
Giga Drain,nature,grass,special,75,100,10
Sleep Powder,nature,grass,other,--,75,15
Stun Spore,nature,grass,other,--,75,30
Growth,nature,normal,other,--,101,20
Leech Seed,nature,grass,other,--,90,10
Mega Drain,nature,grass,special,40,100,15
After You,nature,normal,other,--,101,15
Absorb,nature,grass,special,20,100,25
Magical Leaf,lv. 5,grass,special,60,101,20
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Acrobatics,TM014,flying,physical,55,100,15
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Magical Leaf,TM033,grass,special,60,101,20
Low Sweep,TM039,fighting,physical,65,100,20
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Bullet Seed,TM056,grass,physical,25,100,30
Brick Break,TM058,fighting,physical,75,100,15
Air Slash,TM065,flying,special,75,95,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Light Screen,TM075,psychic,other,--,101,30
Metronome,TM080,normal,other,--,101,10
Grass Knot,TM081,grass,special,??,100,20
Poison Jab,TM083,poison,physical,80,100,20
Rest,TM085,psychic,other,--,101,5
Swords Dance,TM088,normal,other,--,101,20
Substitute,TM103,normal,other,--,101,10
Giga Drain,TM111,grass,special,75,100,10
Energy Ball,TM119,grass,special,90,100,10
Encore,TM122,normal,other,--,100,5
Ice Spinner,TM124,ice,physical,80,100,15
Helping Hand,TM130,normal,other,--,101,20
Pollen Puff,TM131,bug,special,90,100,15
Grassy Terrain,TM137,grass,other,--,101,10
Giga Impact,TM152,normal,physical,150,90,5
Leaf Storm,TM159,grass,special,130,90,5
Hurricane,TM160,flying,special,110,70,10
Hyper Beam,TM163,normal,special,150,90,5
Close Combat,TM167,fighting,physical,120,100,5
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Vacuum Wave,TM184,fighting,special,40,100,30
Solar Blade,TM190,grass,physical,125,100,10
Weather Ball,TM193,normal,special,50,100,10
Grassy Glide,TM194,grass,physical,55,100,20
Psych Up,TM203,normal,other,--,101,10
Petal Blizzard,TM206,grass,physical,90,100,15
Triple Axel,TM212,ice,physical,20,90,10
Coaching,TM213,fighting,other,--,101,10
Alluring Voice,TM227,fairy,special,80,100,10
Upper Hand,TM229,fighting,physical,65,100,15
