name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Leer,nature,normal,other,--,100,30
Ember,lv. 5,fire,special,40,100,25
Work Up,lv. 8,normal,other,--,101,30
Headbutt,lv. 11,normal,physical,70,100,15
Noble Roar,lv. 15,normal,other,--,100,30
Take Down,lv. 20,normal,physical,90,85,20
Fire Fang,lv. 23,fire,physical,65,95,15
Endeavor,lv. 28,normal,physical,??,100,5
Echoed Voice,lv. 33,normal,special,40,100,15
Flamethrower,lv. 36,fire,special,90,100,15
Crunch,lv. 39,dark,physical,80,100,15
Hyper Voice,lv. 43,normal,special,90,100,10
Incinerate,lv. 46,fire,special,60,100,15
Overheat,lv. 50,fire,special,130,90,5
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Fire Fang,TM008,fire,physical,65,95,15
Thunder Fang,TM009,electric,physical,65,95,15
Acrobatics,TM014,flying,physical,55,100,15
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Fire Spin,TM024,fire,special,35,85,15
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Snarl,TM030,dark,special,55,95,15
Swift,TM032,normal,special,60,101,20
Flame Charge,TM038,fire,physical,50,100,20
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Psychic Fangs,TM063,psychic,physical,85,100,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Substitute,TM103,normal,other,--,101,10
Will-O-Wisp,TM107,fire,other,--,85,15
Crunch,TM108,dark,physical,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Heat Wave,TM118,fire,special,95,90,10
Flamethrower,TM125,fire,special,90,100,15
Helping Hand,TM130,normal,other,--,101,20
Fire Blast,TM141,fire,special,110,85,5
Wild Charge,TM147,electric,physical,90,100,15
Overheat,TM157,fire,special,130,90,5
Flare Blitz,TM165,fire,physical,120,100,15
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
