name,source,type,category,power,accuracy,pp
Petal Blizzard,lv. Evolve,grass,physical,90,100,15
Growth,nature,normal,other,--,101,20
Solar Beam,nature,grass,special,120,100,10
Fury Cutter,nature,bug,physical,40,95,20
Ingrain,nature,grass,other,--,101,20
Night Slash,nature,dark,physical,70,100,15
Leafage,nature,grass,physical,40,100,40
Razor Leaf,lv. 15,grass,physical,55,95,25
Sweet Scent,lv. 20,normal,other,--,100,20
Slash,lv. 25,normal,physical,70,100,20
X-Scissor,lv. 30,bug,physical,80,100,15
Synthesis,lv. 37,grass,other,--,101,5
Leaf Blade,lv. 44,grass,physical,90,100,15
Sunny Day,lv. 51,fire,other,--,101,5
Solar Blade,lv. 63,grass,physical,125,100,10
Take Down,TM001,normal,physical,90,85,20
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Magical Leaf,TM033,grass,special,60,101,20
Low Sweep,TM039,fighting,physical,65,100,20
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Bullet Seed,TM056,grass,physical,25,100,30
False Swipe,TM057,normal,physical,40,100,40
Brick Break,TM058,fighting,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Grass Knot,TM081,grass,special,??,100,20
Poison Jab,TM083,poison,physical,80,100,20
Rest,TM085,psychic,other,--,101,5
Swords Dance,TM088,normal,other,--,101,20
Leech Life,TM095,bug,physical,80,100,10
Substitute,TM103,normal,other,--,101,10
X-Scissor,TM105,bug,physical,80,100,15
Giga Drain,TM111,grass,special,75,100,10
Energy Ball,TM119,grass,special,90,100,10
Pollen Puff,TM131,bug,special,90,100,15
Grassy Terrain,TM137,grass,other,--,101,10
Giga Impact,TM152,normal,physical,150,90,5
Leaf Storm,TM159,grass,special,130,90,5
Hyper Beam,TM163,normal,special,150,90,5
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Knock Off,TM181,dark,physical,65,100,20
Bug Bite,TM182,bug,physical,60,100,20
Solar Blade,TM190,grass,physical,125,100,10
Weather Ball,TM193,normal,special,50,100,10
Grassy Glide,TM194,grass,physical,55,100,20
Petal Blizzard,TM206,grass,physical,90,100,15
Skitter Smack,TM219,bug,physical,70,90,10
