name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Leer,nature,normal,other,--,100,30
Thunder Shock,nature,electric,special,40,100,30
Charge,nature,electric,other,--,101,20
Electric Terrain,nature,electric,other,--,101,10
Bite,lv. 12,dark,physical,60,100,25
Spark,lv. 18,electric,physical,65,100,20
Roar,lv. 24,normal,other,--,101,20
Volt Switch,lv. 33,electric,special,70,100,20
Scary Face,lv. 40,normal,other,--,100,10
Thunder Wave,lv. 48,electric,other,--,90,20
Crunch,lv. 56,dark,physical,80,100,15
Discharge,lv. 64,electric,special,80,100,15
Swagger,lv. 72,normal,other,--,85,15
Wild Charge,lv. 80,electric,physical,90,100,15
Take Down,TM001,normal,physical,90,85,20
Fake Tears,TM003,dark,other,--,100,20
Agility,TM004,psychic,other,--,101,30
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Fire Fang,TM008,fire,physical,65,95,15
Thunder Fang,TM009,electric,physical,65,95,15
Ice Fang,TM010,ice,physical,65,95,15
Confuse Ray,TM017,ghost,other,--,100,10
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Charge Beam,TM023,electric,special,50,90,10
Facade,TM025,normal,physical,70,100,20
Snarl,TM030,dark,special,55,95,15
Swift,TM032,normal,special,60,101,20
Endure,TM047,normal,other,--,101,10
Volt Switch,TM048,electric,special,70,100,20
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Psychic Fangs,TM063,psychic,physical,85,100,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Electro Ball,TM072,electric,special,??,100,10
Light Screen,TM075,psychic,other,--,101,30
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Eerie Impulse,TM096,electric,other,--,100,15
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Thunderbolt,TM126,electric,special,90,100,15
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Electric Terrain,TM136,electric,other,--,101,10
Wild Charge,TM147,electric,physical,90,100,15
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Thunder,TM166,electric,special,110,70,10
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Charge,TM173,electric,other,--,101,20
Double-Edge,TM204,normal,physical,120,100,15
Supercell Slam,TM210,electric,physical,100,95,15
Electroweb,TM211,electric,special,55,95,15
Throat Chop,TM221,dark,physical,80,100,15
