name,source,type,category,power,accuracy,pp
Comeuppance,lv. Evolve,dark,physical,??,100,10
Leer,nature,normal,other,--,100,30
Scary Face,nature,normal,other,--,100,10
Tackle,nature,normal,physical,40,100,35
Lick,lv. 4,ghost,physical,30,100,30
Snarl,lv. 7,dark,special,55,95,15
Hone Claws,lv. 10,dark,other,--,101,15
Bite,lv. 14,dark,physical,60,100,25
Roar,lv. 18,normal,other,--,101,20
Headbutt,lv. 22,normal,physical,70,100,15
Payback,lv. 26,dark,physical,50,100,10
Crunch,lv. 34,dark,physical,80,100,15
Swagger,lv. 39,normal,other,--,85,15
Reversal,lv. 43,fighting,physical,??,100,15
Jaw Lock,lv. 48,dark,physical,80,100,10
Double-Edge,lv. 55,normal,physical,120,100,15
Outrage,lv. 60,dragon,physical,120,100,10
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Fake Tears,TM003,dark,other,--,100,20
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Fire Fang,TM008,fire,physical,65,95,15
Thunder Fang,TM009,electric,physical,65,95,15
Ice Fang,TM010,ice,physical,65,95,15
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Snarl,TM030,dark,special,55,95,15
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Psychic Fangs,TM063,psychic,physical,85,100,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Dark Pulse,TM094,dark,special,80,100,15
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Reversal,TM134,fighting,physical,??,100,15
Wild Charge,TM147,electric,physical,90,100,15
Giga Impact,TM152,normal,physical,150,90,5
Outrage,TM156,dragon,physical,120,100,10
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Spite,TM177,ghost,other,--,100,10
Lash Out,TM199,dark,physical,75,100,5
Pain Split,TM202,normal,other,--,101,20
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Curse,TM224,ghost,other,--,101,10
