name,source,type,category,power,accuracy,pp
Poison Sting,nature,poison,physical,15,100,35
Peck,nature,flying,physical,35,100,35
Wide Guard,lv. 5,rock,other,--,101,10
Bite,lv. 10,dark,physical,60,100,25
Venoshock,lv. 15,poison,special,65,100,10
Recover,lv. 20,normal,other,--,101,5
Pin Missile,lv. 25,bug,physical,25,95,20
Toxic Spikes,lv. 30,poison,other,--,101,20
Liquidation,lv. 35,water,physical,85,100,10
Acid Spray,lv. 40,poison,special,40,100,20
Poison Jab,lv. 45,poison,physical,80,100,20
Toxic,lv. 50,poison,other,--,90,10
Protect,TM007,normal,other,--,101,10
Water Pulse,TM011,water,special,60,100,20
Acid Spray,TM013,poison,special,40,100,20
Pounce,TM021,bug,physical,50,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Icy Wind,TM034,ice,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Venoshock,TM045,poison,special,65,100,10
Endure,TM047,normal,other,--,101,10
Rain Dance,TM050,water,other,--,101,5
Sleep Talk,TM070,normal,other,--,101,10
Poison Jab,TM083,poison,physical,80,100,20
Rest,TM085,psychic,other,--,101,5
Toxic Spikes,TM091,poison,other,--,101,20
Gunk Shot,TM102,poison,physical,120,80,5
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Liquidation,TM110,water,physical,85,100,10
Surf,TM123,water,special,90,100,15
Ice Spinner,TM124,ice,physical,80,100,15
Ice Beam,TM135,ice,special,90,100,10
Hydro Pump,TM142,water,special,110,80,5
Blizzard,TM143,ice,special,110,70,5
Sludge Bomb,TM148,poison,special,90,100,10
Tera Blast,TM171,normal,special,80,100,10
Haze,TM174,ice,other,--,101,30
Toxic,TM175,poison,other,--,90,10
Lunge,TM185,bug,physical,80,100,15
Pain Split,TM202,normal,other,--,101,20
Muddy Water,TM209,water,special,90,85,10
Sludge Wave,TM214,poison,special,95,100,10
