name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Growl,nature,normal,other,--,100,40
Thunder Wave,lv. 4,electric,other,--,90,20
Thunder Shock,lv. 8,electric,special,40,100,30
Cotton Spore,lv. 11,grass,other,--,100,40
Charge,lv. 15,electric,other,--,101,20
Take Down,lv. 18,normal,physical,90,85,20
Electro Ball,lv. 22,electric,special,??,100,10
Confuse Ray,lv. 25,ghost,other,--,100,10
Power Gem,lv. 29,rock,special,80,100,20
Discharge,lv. 32,electric,special,80,100,15
Cotton Guard,lv. 36,grass,other,--,101,10
Dazzling Gleam,lv. 39,fairy,special,80,100,10
Light Screen,lv. 43,psychic,other,--,101,30
Thunder,lv. 46,electric,special,110,70,10
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Confuse Ray,TM017,ghost,other,--,100,10
Trailblaze,TM020,grass,physical,50,100,20
Charge Beam,TM023,electric,special,50,90,10
Facade,TM025,normal,physical,70,100,20
Endure,TM047,normal,other,--,101,10
Volt Switch,TM048,electric,special,70,100,20
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Electro Ball,TM072,electric,special,??,100,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Dazzling Gleam,TM079,fairy,special,80,100,10
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Eerie Impulse,TM096,electric,other,--,100,15
Power Gem,TM101,rock,special,80,100,20
Substitute,TM103,normal,other,--,101,10
Thunderbolt,TM126,electric,special,90,100,15
Helping Hand,TM130,normal,other,--,101,20
Electric Terrain,TM136,electric,other,--,101,10
Wild Charge,TM147,electric,physical,90,100,15
Thunder,TM166,electric,special,110,70,10
Tera Blast,TM171,normal,special,80,100,10
Charge,TM173,electric,other,--,101,20
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Electroweb,TM211,electric,special,55,95,15
