name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Helping Hand,nature,normal,other,--,101,20
Tail Whip,nature,normal,other,--,100,30
Water Gun,nature,water,special,40,100,25
Rollout,nature,rock,physical,30,90,20
Defense Curl,nature,normal,other,--,101,40
Bubble Beam,lv. 6,water,special,65,100,20
Charm,lv. 9,fairy,other,--,100,20
Slam,lv. 12,normal,physical,80,75,20
Bounce,lv. 15,flying,physical,85,85,5
Aqua Tail,lv. 19,water,physical,90,90,10
Play Rough,lv. 21,fairy,physical,90,90,10
Aqua Ring,lv. 24,water,other,--,101,20
Rain Dance,lv. 27,water,other,--,101,5
Hydro Pump,lv. 30,water,special,110,80,5
Double-Edge,lv. 33,normal,physical,120,100,15
Superpower,lv. 36,fighting,physical,120,100,5
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Fake Tears,TM003,dark,other,--,100,20
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Water Pulse,TM011,water,special,60,100,20
Disarming Voice,TM019,fairy,special,40,101,15
Trailblaze,TM020,grass,physical,50,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Draining Kiss,TM037,fairy,special,50,100,10
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Rain Dance,TM050,water,other,--,101,5
Snowscape,TM052,ice,other,--,101,10
Dig,TM055,ground,physical,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Body Slam,TM066,normal,physical,85,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Light Screen,TM075,psychic,other,--,101,30
Waterfall,TM077,water,physical,80,100,15
Metronome,TM080,normal,other,--,101,10
Grass Knot,TM081,grass,special,??,100,20
Rest,TM085,psychic,other,--,101,5
Substitute,TM103,normal,other,--,101,10
Liquidation,TM110,water,physical,85,100,10
Hyper Voice,TM117,normal,special,90,100,10
Encore,TM122,normal,other,--,100,5
Surf,TM123,water,special,90,100,15
Ice Spinner,TM124,ice,physical,80,100,15
Play Rough,TM127,fairy,physical,90,90,10
Amnesia,TM128,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Ice Beam,TM135,ice,special,90,100,10
Misty Terrain,TM139,fairy,other,--,101,10
Hydro Pump,TM142,water,special,110,80,5
Blizzard,TM143,ice,special,110,70,5
Tera Blast,TM171,normal,special,80,100,10
Knock Off,TM181,dark,physical,65,100,20
Focus Punch,TM192,fighting,physical,150,100,20
Misty Explosion,TM201,fairy,special,100,100,5
Double-Edge,TM204,normal,physical,120,100,15
Whirlpool,TM208,water,special,35,85,15
Muddy Water,TM209,water,special,90,85,10
Alluring Voice,TM227,fairy,special,80,100,10
