name,source,type,category,power,accuracy,pp
Pound,nature,normal,physical,40,100,35
Follow Me,nature,normal,other,--,101,20
Baby-Doll Eyes,nature,fairy,other,--,100,30
Tidy Up,nature,normal,other,--,101,10
Echoed Voice,lv. 5,normal,special,40,100,15
Helping Hand,lv. 8,normal,other,--,101,20
Super Fang,lv. 11,normal,physical,??,90,10
Double Hit,lv. 14,normal,physical,35,90,10
Bullet Seed,lv. 18,grass,physical,25,100,30
Encore,lv. 22,normal,other,--,100,5
Play Rough,lv. 29,fairy,physical,90,90,10
Hyper Voice,lv. 33,normal,special,90,100,10
Charm,lv. 37,fairy,other,--,100,20
Beat Up,lv. 41,dark,physical,??,100,10
Copycat,lv. 46,normal,other,--,101,20
Population Bomb,lv. 53,normal,physical,20,90,10
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Fake Tears,TM003,dark,other,--,100,20
Agility,TM004,psychic,other,--,101,30
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Water Pulse,TM011,water,special,60,100,20
Low Kick,TM012,fighting,physical,??,100,20
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Swift,TM032,normal,special,60,101,20
Mud Shot,TM035,ground,special,55,95,15
Low Sweep,TM039,fighting,physical,65,100,20
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Bullet Seed,TM056,grass,physical,25,100,30
U-turn,TM060,bug,physical,70,100,20
Shadow Claw,TM061,ghost,physical,70,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Grass Knot,TM081,grass,special,??,100,20
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Encore,TM122,normal,other,--,100,5
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Super Fang,TM183,normal,physical,??,90,10
Double-Edge,TM204,normal,physical,120,100,15
