name,source,type,category,power,accuracy,pp
Fire Punch,nature,fire,physical,75,100,15
Ice Punch,nature,ice,physical,75,100,15
Thunder Punch,nature,electric,physical,75,100,15
Work Up,nature,normal,other,--,101,30
Detect,nature,fighting,other,--,101,5
Confusion,nature,psychic,special,50,100,25
Endure,lv. 12,normal,other,--,101,10
Feint,lv. 15,normal,physical,30,100,10
Force Palm,lv. 17,fighting,physical,60,100,10
Psybeam,lv. 20,psychic,special,65,100,20
Calm Mind,lv. 23,psychic,other,--,101,20
Zen Headbutt,lv. 25,psychic,physical,80,90,15
High Jump Kick,lv. 28,fighting,physical,130,90,10
Psych Up,lv. 31,normal,other,--,101,10
Acupressure,lv. 33,normal,other,--,101,30
Power Trick,lv. 36,psychic,other,--,101,10
Recover,lv. 47,normal,other,--,101,5
Counter,lv. 53,fighting,physical,??,100,20
Axe Kick,lv. 53,fighting,physical,120,90,10
Take Down,TM001,normal,physical,90,85,20
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Psybeam,TM016,psychic,special,65,100,20
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Swift,TM032,normal,special,60,101,20
Rock Tomb,TM036,rock,physical,60,95,15
Low Sweep,TM039,fighting,physical,65,100,20
Stored Power,TM041,psychic,special,20,100,10
Night Shade,TM042,ghost,special,??,100,15
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Psyshock,TM054,psychic,special,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Zen Headbutt,TM059,psychic,physical,80,90,15
Bulk Up,TM064,fighting,other,--,101,20
Body Slam,TM066,normal,physical,85,100,15
Fire Punch,TM067,fire,physical,75,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Drain Punch,TM073,fighting,physical,75,100,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Metronome,TM080,normal,other,--,101,10
Grass Knot,TM081,grass,special,??,100,20
Poison Jab,TM083,poison,physical,80,100,20
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Taunt,TM087,dark,other,--,100,20
Imprison,TM092,psychic,other,--,101,10
Skill Swap,TM098,psychic,other,--,101,10
Substitute,TM103,normal,other,--,101,10
Trick,TM109,psychic,other,--,100,10
Aura Sphere,TM112,fighting,special,80,101,20
Shadow Ball,TM114,ghost,special,80,100,15
Energy Ball,TM119,grass,special,90,100,10
Psychic,TM120,psychic,special,90,100,10
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Reversal,TM134,fighting,physical,??,100,15
Psychic Terrain,TM138,psychic,other,--,101,10
Giga Impact,TM152,normal,physical,150,90,5
Focus Blast,TM158,fighting,special,120,70,5
Trick Room,TM161,psychic,other,--,101,5
Hyper Beam,TM163,normal,special,150,90,5
Close Combat,TM167,fighting,physical,120,100,5
Tera Blast,TM171,normal,special,80,100,10
Gravity,TM178,psychic,other,--,101,5
Vacuum Wave,TM184,fighting,special,40,100,30
Focus Punch,TM192,fighting,physical,150,100,20
Pain Split,TM202,normal,other,--,101,20
Psych Up,TM203,normal,other,--,101,10
Expanding Force,TM218,psychic,special,80,100,10
Upper Hand,TM229,fighting,physical,65,100,15
