name,source,type,category,power,accuracy,pp
Flower Trick,lv. Evolve,grass,physical,70,101,10
Leafage,nature,grass,physical,40,100,40
Scratch,nature,normal,physical,40,100,35
Tail Whip,nature,normal,other,--,100,30
Bite,lv. 7,dark,physical,60,100,25
Hone Claws,lv. 10,dark,other,--,101,15
Magical Leaf,lv. 13,grass,special,60,101,20
Quick Attack,lv. 15,normal,physical,40,100,30
Seed Bomb,lv. 20,grass,physical,80,100,15
U-turn,lv. 24,bug,physical,70,100,20
Worry Seed,lv. 29,grass,other,--,100,10
Slash,lv. 33,normal,physical,70,100,20
Night Slash,lv. 38,dark,physical,70,100,15
Energy Ball,lv. 42,grass,special,90,100,10
Play Rough,lv. 47,fairy,physical,90,90,10
Knock Off,lv. 52,dark,physical,65,100,20
Grassy Terrain,lv. 58,grass,other,--,101,10
Leaf Storm,lv. 64,grass,special,130,90,5
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Fake Tears,TM003,dark,other,--,100,20
Agility,TM004,psychic,other,--,101,30
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Acrobatics,TM014,flying,physical,55,100,15
Thief,TM018,dark,physical,60,100,25
Disarming Voice,TM019,fairy,special,40,101,15
Trailblaze,TM020,grass,physical,50,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Swift,TM032,normal,special,60,101,20
Magical Leaf,TM033,grass,special,60,101,20
Low Sweep,TM039,fighting,physical,65,100,20
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Bullet Seed,TM056,grass,physical,25,100,30
Brick Break,TM058,fighting,physical,75,100,15
U-turn,TM060,bug,physical,70,100,20
Shadow Claw,TM061,ghost,physical,70,100,15
Foul Play,TM062,dark,physical,95,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Grass Knot,TM081,grass,special,??,100,20
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Spikes,TM090,ground,other,--,101,20
Toxic Spikes,TM091,poison,other,--,101,20
Dark Pulse,TM094,dark,special,80,100,15
Skill Swap,TM098,psychic,other,--,101,10
Power Gem,TM101,rock,special,80,100,20
Substitute,TM103,normal,other,--,101,10
Trick,TM109,psychic,other,--,100,10
Giga Drain,TM111,grass,special,75,100,10
Aura Sphere,TM112,fighting,special,80,101,20
Shadow Ball,TM114,ghost,special,80,100,15
Energy Ball,TM119,grass,special,90,100,10
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Pollen Puff,TM131,bug,special,90,100,15
Grassy Terrain,TM137,grass,other,--,101,10
Nasty Plot,TM140,dark,other,--,101,20
Grass Pledge,TM146,grass,special,80,100,10
Giga Impact,TM152,normal,physical,150,90,5
Frenzy Plant,TM155,grass,special,150,90,5
Leaf Storm,TM159,grass,special,130,90,5
Trick Room,TM161,psychic,other,--,101,5
Hyper Beam,TM163,normal,special,150,90,5
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Knock Off,TM181,dark,physical,65,100,20
Grassy Glide,TM194,grass,physical,55,100,20
Lash Out,TM199,dark,physical,75,100,5
Psych Up,TM203,normal,other,--,101,10
Petal Blizzard,TM206,grass,physical,90,100,15
Triple Axel,TM212,ice,physical,20,90,10
Throat Chop,TM221,dark,physical,80,100,15
