name,source,type,category,power,accuracy,pp
Growl,nature,normal,other,--,100,40
Fake Out,nature,normal,physical,40,100,10
Feint,lv. 4,normal,physical,30,100,10
Scratch,lv. 8,normal,physical,40,100,35
Pay Day,lv. 12,normal,physical,40,100,20
Bite,lv. 16,dark,physical,60,100,25
Taunt,lv. 20,dark,other,--,100,20
Assurance,lv. 24,dark,physical,60,100,10
Fury Swipes,lv. 29,normal,physical,18,80,15
Screech,lv. 32,normal,other,--,85,40
Slash,lv. 36,normal,physical,70,100,20
Nasty Plot,lv. 40,dark,other,--,101,20
Play Rough,lv. 44,fairy,physical,90,90,10
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Fake Tears,TM003,dark,other,--,100,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Confuse Ray,TM017,ghost,other,--,100,10
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Snarl,TM030,dark,special,55,95,15
Metal Claw,TM031,steel,physical,50,95,35
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
False Swipe,TM057,normal,physical,40,100,40
Brick Break,TM058,fighting,physical,75,100,15
U-turn,TM060,bug,physical,70,100,20
Shadow Claw,TM061,ghost,physical,70,100,15
Foul Play,TM062,dark,physical,95,100,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Metronome,TM080,normal,other,--,101,10
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Swords Dance,TM088,normal,other,--,101,20
Flash Cannon,TM093,steel,special,80,100,10
Dark Pulse,TM094,dark,special,80,100,15
Iron Head,TM099,steel,physical,80,100,15
Power Gem,TM101,rock,special,80,100,20
Gunk Shot,TM102,poison,physical,120,80,5
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
X-Scissor,TM105,bug,physical,80,100,15
Crunch,TM108,dark,physical,80,100,15
Shadow Ball,TM114,ghost,special,80,100,15
Stealth Rock,TM116,rock,other,--,101,20
Hyper Voice,TM117,normal,special,90,100,10
Thunderbolt,TM126,electric,special,90,100,15
Play Rough,TM127,fairy,physical,90,90,10
Amnesia,TM128,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Nasty Plot,TM140,dark,other,--,101,20
Thunder,TM166,electric,special,110,70,10
Steel Beam,TM170,steel,special,140,95,5
Tera Blast,TM171,normal,special,80,100,10
Spite,TM177,ghost,other,--,100,10
Gyro Ball,TM180,steel,physical,??,100,5
Knock Off,TM181,dark,physical,65,100,20
Lash Out,TM199,dark,physical,75,100,5
Pain Split,TM202,normal,other,--,101,20
Psych Up,TM203,normal,other,--,101,10
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Throat Chop,TM221,dark,physical,80,100,15
Metal Sound,TM223,steel,other,--,85,40
Curse,TM224,ghost,other,--,101,10
