name,source,type,category,power,accuracy,pp
Scratch,nature,normal,physical,40,100,35
Splash,nature,normal,other,--,101,40
Astonish,nature,ghost,physical,30,100,15
Copycat,nature,normal,other,--,101,20
Wood Hammer,nature,grass,physical,120,100,15
Shadow Sneak,lv. 6,ghost,physical,40,100,30
Double Team,lv. 12,normal,other,--,101,15
Baby-Doll Eyes,lv. 18,fairy,other,--,100,30
Mimic,lv. 24,normal,other,--,101,10
Hone Claws,lv. 30,dark,other,--,101,15
Slash,lv. 36,normal,physical,70,100,20
Shadow Claw,lv. 42,ghost,physical,70,100,15
Charm,lv. 48,fairy,other,--,100,20
Play Rough,lv. 54,fairy,physical,90,90,10
Pain Split,lv. 60,normal,other,--,101,20
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Protect,TM007,normal,other,--,101,10
Confuse Ray,TM017,ghost,other,--,100,10
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Pounce,TM021,bug,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Hex,TM029,ghost,special,65,100,10
Draining Kiss,TM037,fairy,special,50,100,10
Night Shade,TM042,ghost,special,??,100,15
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Shadow Claw,TM061,ghost,physical,70,100,15
Bulk Up,TM064,fighting,other,--,101,20
Sleep Talk,TM070,normal,other,--,101,10
Drain Punch,TM073,fighting,physical,75,100,10
Light Screen,TM075,psychic,other,--,101,30
Dazzling Gleam,TM079,fairy,special,80,100,10
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Swords Dance,TM088,normal,other,--,101,20
Dark Pulse,TM094,dark,special,80,100,15
Leech Life,TM095,bug,physical,80,100,10
Substitute,TM103,normal,other,--,101,10
X-Scissor,TM105,bug,physical,80,100,15
Will-O-Wisp,TM107,fire,other,--,85,15
Trick,TM109,psychic,other,--,100,10
Giga Drain,TM111,grass,special,75,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Psychic,TM120,psychic,special,90,100,10
Thunderbolt,TM126,electric,special,90,100,15
Play Rough,TM127,fairy,physical,90,90,10
Misty Terrain,TM139,fairy,other,--,101,10
Phantom Force,TM151,ghost,physical,90,100,10
Giga Impact,TM152,normal,physical,150,90,5
Trick Room,TM161,psychic,other,--,101,5
Hyper Beam,TM163,normal,special,150,90,5
Thunder,TM166,electric,special,110,70,10
Tera Blast,TM171,normal,special,80,100,10
Spite,TM177,ghost,other,--,100,10
Burning Jealousy,TM195,fire,special,70,100,5
Pain Split,TM202,normal,other,--,101,20
Psych Up,TM203,normal,other,--,101,10
Curse,TM224,ghost,other,--,101,10
