name,source,type,category,power,accuracy,pp
Thunder Shock,nature,electric,special,40,100,30
Dragon Breath,nature,dragon,special,60,100,20
Electric Terrain,nature,electric,other,--,101,10
Shock Wave,lv. 7,electric,special,60,101,20
Charge,lv. 14,electric,other,--,101,20
Parabolic Charge,lv. 21,electric,special,65,100,20
Discharge,lv. 28,electric,special,80,100,15
Agility,lv. 35,psychic,other,--,101,30
Dragon Pulse,lv. 42,dragon,special,85,100,10
Electro Drift,lv. 56,electric,special,100,100,5
Metal Sound,lv. 63,steel,other,--,85,40
Mirror Coat,lv. 70,psychic,special,??,100,20
Outrage,lv. 77,dragon,physical,120,100,10
Thunder,lv. 84,electric,special,110,70,10
Overheat,lv. 91,fire,special,130,90,5
Hyper Beam,lv. 98,normal,special,150,90,5
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Acrobatics,TM014,flying,physical,55,100,15
Confuse Ray,TM017,ghost,other,--,100,10
Charge Beam,TM023,electric,special,50,90,10
Facade,TM025,normal,physical,70,100,20
Snarl,TM030,dark,special,55,95,15
Dragon Tail,TM044,dragon,physical,60,90,10
Endure,TM047,normal,other,--,101,10
Volt Switch,TM048,electric,special,70,100,20
Zen Headbutt,TM059,psychic,physical,80,90,15
U-turn,TM060,bug,physical,70,100,20
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Electro Ball,TM072,electric,special,??,100,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Dragon Claw,TM078,dragon,physical,80,100,15
Dazzling Gleam,TM079,fairy,special,80,100,10
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Swords Dance,TM088,normal,other,--,101,20
Flash Cannon,TM093,steel,special,80,100,10
Eerie Impulse,TM096,electric,other,--,100,15
Power Gem,TM101,rock,special,80,100,20
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Dragon Pulse,TM115,dragon,special,85,100,10
Heavy Slam,TM121,steel,physical,??,100,10
Thunderbolt,TM126,electric,special,90,100,15
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Electric Terrain,TM136,electric,other,--,101,10
Wild Charge,TM147,electric,physical,90,100,15
Giga Impact,TM152,normal,physical,150,90,5
Outrage,TM156,dragon,physical,120,100,10
Overheat,TM157,fire,special,130,90,5
Hyper Beam,TM163,normal,special,150,90,5
Thunder,TM166,electric,special,110,70,10
Solar Beam,TM168,grass,special,120,100,10
Draco Meteor,TM169,dragon,special,130,90,5
Tera Blast,TM171,normal,special,80,100,10
Charge,TM173,electric,other,--,101,20
Supercell Slam,TM210,electric,physical,100,95,15
Metal Sound,TM223,steel,other,--,85,40
Dragon Cheer,TM226,dragon,other,--,101,15
