name,source,type,category,power,accuracy,pp
False Surrender,lv. Evolve,dark,physical,80,101,10
Bite,nature,dark,physical,60,100,25
Fake Out,nature,normal,physical,40,100,10
Flatter,nature,dark,other,--,100,15
Confide,nature,normal,other,--,101,20
Fake Tears,lv. 12,dark,other,--,100,20
Assurance,lv. 16,dark,physical,60,100,10
Swagger,lv. 20,normal,other,--,85,15
Sucker Punch,lv. 24,dark,physical,70,100,5
Torment,lv. 28,dark,other,--,100,15
Dark Pulse,lv. 35,dark,special,80,100,15
Nasty Plot,lv. 40,dark,other,--,101,20
Play Rough,lv. 46,fairy,physical,90,90,10
Foul Play,lv. 52,dark,physical,95,100,15
Take Down,TM001,normal,physical,90,85,20
Fake Tears,TM003,dark,other,--,100,20
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Draining Kiss,TM037,fairy,special,50,100,10
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Shadow Claw,TM061,ghost,physical,70,100,15
Foul Play,TM062,dark,physical,95,100,15
Sleep Talk,TM070,normal,other,--,101,10
Drain Punch,TM073,fighting,physical,75,100,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Dazzling Gleam,TM079,fairy,special,80,100,10
Metronome,TM080,normal,other,--,101,10
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Imprison,TM092,psychic,other,--,101,10
Dark Pulse,TM094,dark,special,80,100,15
Leech Life,TM095,bug,physical,80,100,10
Substitute,TM103,normal,other,--,101,10
Trick,TM109,psychic,other,--,100,10
Play Rough,TM127,fairy,physical,90,90,10
Misty Terrain,TM139,fairy,other,--,101,10
Nasty Plot,TM140,dark,other,--,101,20
Tera Blast,TM171,normal,special,80,100,10
Burning Jealousy,TM195,fire,special,70,100,5
Lash Out,TM199,dark,physical,75,100,5
Throat Chop,TM221,dark,physical,80,100,15
