name,source,type,category,power,accuracy,pp
Mud-Slap,nature,ground,special,20,100,10
Rock Smash,nature,fighting,physical,40,100,15
Iron Defense,lv. 4,steel,other,--,101,15
Double Kick,lv. 8,fighting,physical,30,100,30
Bulldoze,lv. 12,ground,physical,60,100,20
Stomp,lv. 16,normal,physical,65,100,20
Strength,lv. 20,normal,physical,80,100,15
Counter,lv. 24,fighting,physical,??,100,20
High Horsepower,lv. 28,ground,physical,95,95,10
Heavy Slam,lv. 32,steel,physical,??,100,10
Earthquake,lv. 36,ground,physical,100,100,10
Mega Kick,lv. 40,normal,physical,120,75,5
Superpower,lv. 44,fighting,physical,120,100,5
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Rock Tomb,TM036,rock,physical,60,95,15
Low Sweep,TM039,fighting,physical,65,100,20
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Iron Head,TM099,steel,physical,80,100,15
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Stealth Rock,TM116,rock,other,--,101,20
Heavy Slam,TM121,steel,physical,??,100,10
Earth Power,TM133,ground,special,90,100,10
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Close Combat,TM167,fighting,physical,120,100,5
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Sand Tomb,TM176,ground,physical,35,85,15
Smack Down,TM179,rock,physical,50,100,15
High Horsepower,TM186,ground,physical,95,95,10
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Curse,TM224,ghost,other,--,101,10
