name,source,type,category,power,accuracy,pp
Pound,nature,normal,physical,40,100,35
Harden,nature,normal,other,--,101,30
Poison Gas,nature,poison,other,--,90,40
Mud-Slap,nature,ground,special,20,100,10
Disable,lv. 12,normal,other,--,100,20
Sludge,lv. 15,poison,special,65,100,20
Mud Shot,lv. 18,ground,special,55,95,15
Minimize,lv. 21,normal,other,--,101,10
Toxic,lv. 26,poison,other,--,90,10
Sludge Bomb,lv. 29,poison,special,90,100,10
Sludge Wave,lv. 32,poison,special,95,100,10
Screech,lv. 37,normal,other,--,85,40
Gunk Shot,lv. 40,poison,physical,120,80,5
Acid Armor,lv. 46,poison,other,--,101,20
Belch,lv. 52,poison,special,120,90,10
Memento,lv. 57,dark,other,--,100,10
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Acid Spray,TM013,poison,special,40,100,20
Confuse Ray,TM017,ghost,other,--,100,10
Thief,TM018,dark,physical,60,100,25
Facade,TM025,normal,physical,70,100,20
Hex,TM029,ghost,special,65,100,10
Snarl,TM030,dark,special,55,95,15
Swift,TM032,normal,special,60,101,20
Mud Shot,TM035,ground,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Fling,TM043,dark,physical,??,100,10
Venoshock,TM045,poison,special,65,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Dig,TM055,ground,physical,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Zen Headbutt,TM059,psychic,physical,80,90,15
Body Slam,TM066,normal,physical,85,100,15
Fire Punch,TM067,fire,physical,75,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Drain Punch,TM073,fighting,physical,75,100,10
Metronome,TM080,normal,other,--,101,10
Poison Jab,TM083,poison,physical,80,100,20
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Taunt,TM087,dark,other,--,100,20
Toxic Spikes,TM091,poison,other,--,101,20
Imprison,TM092,psychic,other,--,101,10
Dark Pulse,TM094,dark,special,80,100,15
Gunk Shot,TM102,poison,physical,120,80,5
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Giga Drain,TM111,grass,special,75,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Flamethrower,TM125,fire,special,90,100,15
Thunderbolt,TM126,electric,special,90,100,15
Helping Hand,TM130,normal,other,--,101,20
Fire Blast,TM141,fire,special,110,85,5
Sludge Bomb,TM148,poison,special,90,100,10
Stone Edge,TM150,rock,physical,100,80,5
Giga Impact,TM152,normal,physical,150,90,5
Focus Blast,TM158,fighting,special,120,70,5
Hyper Beam,TM163,normal,special,150,90,5
Thunder,TM166,electric,special,110,70,10
Tera Blast,TM171,normal,special,80,100,10
Haze,TM174,ice,other,--,101,30
Toxic,TM175,poison,other,--,90,10
Spite,TM177,ghost,other,--,100,10
Knock Off,TM181,dark,physical,65,100,20
Lunge,TM185,bug,physical,80,100,15
Focus Punch,TM192,fighting,physical,150,100,20
Lash Out,TM199,dark,physical,75,100,5
Pain Split,TM202,normal,other,--,101,20
Sludge Wave,TM214,poison,special,95,100,10
Curse,TM224,ghost,other,--,101,10
