name,source,type,category,power,accuracy,pp
Salt Cure,lv. Evolve,rock,physical,40,100,15
Tackle,nature,normal,physical,40,100,35
Harden,nature,normal,other,--,101,30
Rock Throw,lv. 5,rock,physical,50,90,15
Mud Shot,lv. 7,ground,special,55,95,15
Smack Down,lv. 10,rock,physical,50,100,15
Rock Polish,lv. 13,rock,other,--,101,20
Headbutt,lv. 16,normal,physical,70,100,15
Iron Defense,lv. 20,steel,other,--,101,15
Recover,lv. 30,normal,other,--,101,5
Rock Slide,lv. 34,rock,physical,75,90,10
Stealth Rock,lv. 38,rock,other,--,101,20
Heavy Slam,lv. 41,steel,physical,??,100,10
Earthquake,lv. 45,ground,physical,100,100,10
Stone Edge,lv. 51,rock,physical,100,80,5
Take Down,TM001,normal,physical,90,85,20
Protect,TM007,normal,other,--,101,10
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Mud Shot,TM035,ground,special,55,95,15
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Dig,TM055,ground,physical,80,100,10
Zen Headbutt,TM059,psychic,physical,80,90,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Body Press,TM089,fighting,physical,80,100,10
Flash Cannon,TM093,steel,special,80,100,10
Iron Head,TM099,steel,physical,80,100,15
Power Gem,TM101,rock,special,80,100,20
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Stealth Rock,TM116,rock,other,--,101,20
Heavy Slam,TM121,steel,physical,??,100,10
Helping Hand,TM130,normal,other,--,101,20
Earth Power,TM133,ground,special,90,100,10
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Smack Down,TM179,rock,physical,50,100,15
Double-Edge,TM204,normal,physical,120,100,15
Meteor Beam,TM220,rock,special,120,90,10
Curse,TM224,ghost,other,--,101,10
