name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Leer,nature,normal,other,--,100,30
Struggle Bug,lv. 4,bug,special,50,100,20
Astonish,lv. 6,ghost,physical,30,100,15
Assurance,lv. 9,dark,physical,60,100,10
Double Kick,lv. 11,fighting,physical,30,100,30
Screech,lv. 14,normal,other,--,85,40
Endure,lv. 18,normal,other,--,101,10
Bug Bite,lv. 22,bug,physical,60,100,20
Feint,lv. 26,normal,physical,30,100,10
Agility,lv. 30,psychic,other,--,101,30
Sucker Punch,lv. 38,dark,physical,70,100,5
First Impression,lv. 41,bug,physical,90,100,10
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Struggle Bug,TM015,bug,special,50,100,20
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Pounce,TM021,bug,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
U-turn,TM060,bug,physical,70,100,20
Sleep Talk,TM070,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Leech Life,TM095,bug,physical,80,100,10
Substitute,TM103,normal,other,--,101,10
X-Scissor,TM105,bug,physical,80,100,15
Bug Buzz,TM162,bug,special,90,100,10
Tera Blast,TM171,normal,special,80,100,10
Bug Bite,TM182,bug,physical,60,100,20
Skitter Smack,TM219,bug,physical,70,90,10
