name,source,type,category,power,accuracy,pp
Pound,nature,normal,physical,40,100,35
Growl,lv. 4,normal,other,--,100,40
Peck,lv. 6,flying,physical,35,100,35
Helping Hand,lv. 10,normal,other,--,101,20
Air Cutter,lv. 13,flying,special,60,95,25
Baton Pass,lv. 16,normal,other,--,101,40
Feather Dance,lv. 20,flying,other,--,100,15
Acrobatics,lv. 23,flying,physical,55,100,15
Teeter Dance,lv. 26,normal,other,--,100,20
Roost,lv. 30,flying,other,--,101,5
Flatter,lv. 33,dark,other,--,100,15
Air Slash,lv. 36,flying,special,75,95,15
Revelation Dance,lv. 40,normal,special,90,100,15
Agility,lv. 43,psychic,other,--,101,30
Hurricane,lv. 47,flying,special,110,70,10
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Acrobatics,TM014,flying,physical,55,100,15
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Air Cutter,TM040,flying,special,60,95,25
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
U-turn,TM060,bug,physical,70,100,20
Air Slash,TM065,flying,special,75,95,15
Sleep Talk,TM070,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Swords Dance,TM088,normal,other,--,101,20
Fly,TM097,flying,physical,90,95,15
Substitute,TM103,normal,other,--,101,10
Tailwind,TM113,flying,other,--,101,15
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Reversal,TM134,fighting,physical,??,100,15
Hurricane,TM160,flying,special,110,70,10
Tera Blast,TM171,normal,special,80,100,10
Dual Wingbeat,TM197,flying,physical,40,90,10
Psych Up,TM203,normal,other,--,101,10
Feather Dance,TM216,flying,other,--,100,15
Alluring Voice,TM227,fairy,special,80,100,10
