name,source,type,category,power,accuracy,pp
Growl,nature,normal,other,--,100,40
Thunder Shock,nature,electric,special,40,100,30
Quick Attack,lv. 5,normal,physical,40,100,30
Charm,lv. 9,fairy,other,--,100,20
Spark,lv. 13,electric,physical,65,100,20
Endure,lv. 17,normal,other,--,101,10
Nuzzle,lv. 19,electric,physical,20,100,20
Swift,lv. 21,normal,special,60,101,20
Electro Ball,lv. 25,electric,special,??,100,10
Sweet Kiss,lv. 29,fairy,other,--,75,10
Thunder Wave,lv. 33,electric,other,--,90,20
Super Fang,lv. 37,normal,physical,??,90,10
Discharge,lv. 41,electric,special,80,100,15
Last Resort,lv. 45,normal,physical,140,100,5
Thunder,lv. 49,electric,special,110,70,10
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Fake Tears,TM003,dark,other,--,100,20
Agility,TM004,psychic,other,--,101,30
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Thunder Fang,TM009,electric,physical,65,95,15
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Charge Beam,TM023,electric,special,50,90,10
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Swift,TM032,normal,special,60,101,20
Mud Shot,TM035,ground,special,55,95,15
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Volt Switch,TM048,electric,special,70,100,20
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
U-turn,TM060,bug,physical,70,100,20
Thunder Punch,TM068,electric,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Electro Ball,TM072,electric,special,??,100,10
Light Screen,TM075,psychic,other,--,101,30
Grass Knot,TM081,grass,special,??,100,20
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Eerie Impulse,TM096,electric,other,--,100,15
Gunk Shot,TM102,poison,physical,120,80,5
Substitute,TM103,normal,other,--,101,10
Encore,TM122,normal,other,--,100,5
Thunderbolt,TM126,electric,special,90,100,15
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Electric Terrain,TM136,electric,other,--,101,10
Wild Charge,TM147,electric,physical,90,100,15
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Thunder,TM166,electric,special,110,70,10
Tera Blast,TM171,normal,special,80,100,10
Charge,TM173,electric,other,--,101,20
Super Fang,TM183,normal,physical,??,90,10
Uproar,TM191,normal,special,90,100,10
Endeavor,TM205,normal,physical,??,100,5
Electroweb,TM211,electric,special,55,95,15
Alluring Voice,TM227,fairy,special,80,100,10
