name,source,type,category,power,accuracy,pp
Absorb,nature,grass,special,20,100,25
Harden,nature,normal,other,--,101,30
Astonish,nature,ghost,physical,30,100,15
Sand Tomb,nature,ground,physical,35,85,15
Mega Drain,lv. 15,grass,special,40,100,15
Sand Attack,lv. 20,ground,other,--,100,15
Bulldoze,lv. 25,ground,physical,60,100,20
Hypnosis,lv. 30,psychic,other,--,60,20
Giga Drain,lv. 35,grass,special,75,100,10
Iron Defense,lv. 40,steel,other,--,101,15
Shadow Ball,lv. 47,ghost,special,80,100,15
Earth Power,lv. 54,ground,special,90,100,10
Shore Up,lv. 61,ground,other,--,101,5
Sandstorm,lv. 68,rock,other,--,101,10
Mud-Slap,TM005,ground,special,20,100,10
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Confuse Ray,TM017,ghost,other,--,100,10
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Hex,TM029,ghost,special,65,100,10
Mud Shot,TM035,ground,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Night Shade,TM042,ghost,special,??,100,15
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Imprison,TM092,psychic,other,--,101,10
Flash Cannon,TM093,steel,special,80,100,10
Skill Swap,TM098,psychic,other,--,101,10
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Trick,TM109,psychic,other,--,100,10
Giga Drain,TM111,grass,special,75,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Stealth Rock,TM116,rock,other,--,101,20
Energy Ball,TM119,grass,special,90,100,10
Psychic,TM120,psychic,special,90,100,10
Amnesia,TM128,psychic,other,--,101,20
Earth Power,TM133,ground,special,90,100,10
Sludge Bomb,TM148,poison,special,90,100,10
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Sand Tomb,TM176,ground,physical,35,85,15
Spite,TM177,ghost,other,--,100,10
Gravity,TM178,psychic,other,--,101,5
Poltergeist,TM198,ghost,physical,110,90,5
Pain Split,TM202,normal,other,--,101,20
Scorching Sands,TM215,ground,special,70,100,10
Curse,TM224,ghost,other,--,101,10
