name,source,type,category,power,accuracy,pp
Arm Thrust,lv. Evolve,fighting,physical,15,100,20
Scratch,nature,normal,physical,40,100,35
Growl,nature,normal,other,--,100,40
Thunder Shock,lv. 3,electric,special,40,100,30
Quick Attack,lv. 6,normal,physical,40,100,30
Charge,lv. 8,electric,other,--,101,20
Nuzzle,lv. 12,electric,physical,20,100,20
Dig,lv. 15,ground,physical,80,100,10
Bite,lv. 19,dark,physical,60,100,25
Spark,lv. 23,electric,physical,65,100,20
Thunder Wave,lv. 27,electric,other,--,90,20
Slam,lv. 32,normal,physical,80,75,20
Entrainment,lv. 38,normal,other,--,100,15
Discharge,lv. 42,electric,special,80,100,15
Agility,lv. 46,psychic,other,--,101,30
Wild Charge,lv. 52,electric,physical,90,100,15
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Thunder Fang,TM009,electric,physical,65,95,15
Low Kick,TM012,fighting,physical,??,100,20
Thief,TM018,dark,physical,60,100,25
Charge Beam,TM023,electric,special,50,90,10
Facade,TM025,normal,physical,70,100,20
Metal Claw,TM031,steel,physical,50,95,35
Swift,TM032,normal,special,60,101,20
Low Sweep,TM039,fighting,physical,65,100,20
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Volt Switch,TM048,electric,special,70,100,20
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Thunder Punch,TM068,electric,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Electro Ball,TM072,electric,special,??,100,10
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Eerie Impulse,TM096,electric,other,--,100,15
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Encore,TM122,normal,other,--,100,5
Thunderbolt,TM126,electric,special,90,100,15
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Electric Terrain,TM136,electric,other,--,101,10
Wild Charge,TM147,electric,physical,90,100,15
Thunder,TM166,electric,special,110,70,10
Tera Blast,TM171,normal,special,80,100,10
Charge,TM173,electric,other,--,101,20
Knock Off,TM181,dark,physical,65,100,20
Super Fang,TM183,normal,physical,??,90,10
Focus Punch,TM192,fighting,physical,150,100,20
Electroweb,TM211,electric,special,55,95,15
Coaching,TM213,fighting,other,--,101,10
Upper Hand,TM229,fighting,physical,65,100,15
