name,source,type,category,power,accuracy,pp
Revival Blessing,lv. Evolve,normal,other,--,101,1
Scratch,nature,normal,physical,40,100,35
Growl,nature,normal,other,--,100,40
Wild Charge,nature,electric,physical,90,100,15
Thunder Shock,lv. 3,electric,special,40,100,30
Quick Attack,lv. 6,normal,physical,40,100,30
Charge,lv. 8,electric,other,--,101,20
Nuzzle,lv. 12,electric,physical,20,100,20
Dig,lv. 15,ground,physical,80,100,10
Bite,lv. 19,dark,physical,60,100,25
Spark,lv. 23,electric,physical,65,100,20
Arm Thrust,lv. 25,fighting,physical,15,100,20
Thunder Wave,lv. 29,electric,other,--,90,20
Slam,lv. 33,normal,physical,80,75,20
Entrainment,lv. 39,normal,other,--,100,15
Close Combat,lv. 44,fighting,physical,120,100,5
Discharge,lv. 49,electric,special,80,100,15
Agility,lv. 54,psychic,other,--,101,30
Double Shock,lv. 60,electric,physical,120,100,5
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Thunder Fang,TM009,electric,physical,65,95,15
Low Kick,TM012,fighting,physical,??,100,20
Thief,TM018,dark,physical,60,100,25
Charge Beam,TM023,electric,special,50,90,10
Facade,TM025,normal,physical,70,100,20
Metal Claw,TM031,steel,physical,50,95,35
Swift,TM032,normal,special,60,101,20
Rock Tomb,TM036,rock,physical,60,95,15
Low Sweep,TM039,fighting,physical,65,100,20
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Volt Switch,TM048,electric,special,70,100,20
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Bulk Up,TM064,fighting,other,--,101,20
Fire Punch,TM067,fire,physical,75,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Electro Ball,TM072,electric,special,??,100,10
Metronome,TM080,normal,other,--,101,10
Grass Knot,TM081,grass,special,??,100,20
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Body Press,TM089,fighting,physical,80,100,10
Eerie Impulse,TM096,electric,other,--,100,15
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Encore,TM122,normal,other,--,100,5
Thunderbolt,TM126,electric,special,90,100,15
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Electric Terrain,TM136,electric,other,--,101,10
Wild Charge,TM147,electric,physical,90,100,15
Giga Impact,TM152,normal,physical,150,90,5
Focus Blast,TM158,fighting,special,120,70,5
Hyper Beam,TM163,normal,special,150,90,5
Thunder,TM166,electric,special,110,70,10
Close Combat,TM167,fighting,physical,120,100,5
Tera Blast,TM171,normal,special,80,100,10
Charge,TM173,electric,other,--,101,20
Knock Off,TM181,dark,physical,65,100,20
Super Fang,TM183,normal,physical,??,90,10
Focus Punch,TM192,fighting,physical,150,100,20
Double-Edge,TM204,normal,physical,120,100,15
Supercell Slam,TM210,electric,physical,100,95,15
Electroweb,TM211,electric,special,55,95,15
Coaching,TM213,fighting,other,--,101,10
Throat Chop,TM221,dark,physical,80,100,15
Upper Hand,TM229,fighting,physical,65,100,15
