name,source,type,category,power,accuracy,pp
Power Gem,lv. Evolve,rock,special,80,100,20
Scratch,nature,normal,physical,40,100,35
Growl,nature,normal,other,--,100,40
Fake Out,nature,normal,physical,40,100,10
Feint,nature,normal,physical,30,100,10
Switcheroo,nature,dark,other,--,100,10
Pay Day,lv. 12,normal,physical,40,100,20
Bite,lv. 16,dark,physical,60,100,25
Taunt,lv. 20,dark,other,--,100,20
Assurance,lv. 24,dark,physical,60,100,10
Fury Swipes,lv. 31,normal,physical,18,80,15
Screech,lv. 36,normal,other,--,85,40
Slash,lv. 42,normal,physical,70,100,20
Nasty Plot,lv. 48,dark,other,--,101,20
Play Rough,lv. 54,fairy,physical,90,90,10
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Fake Tears,TM003,dark,other,--,100,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Confuse Ray,TM017,ghost,other,--,100,10
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Snarl,TM030,dark,special,55,95,15
Metal Claw,TM031,steel,physical,50,95,35
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
False Swipe,TM057,normal,physical,40,100,40
U-turn,TM060,bug,physical,70,100,20
Shadow Claw,TM061,ghost,physical,70,100,15
Foul Play,TM062,dark,physical,95,100,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Dark Pulse,TM094,dark,special,80,100,15
Power Gem,TM101,rock,special,80,100,20
Gunk Shot,TM102,poison,physical,120,80,5
Substitute,TM103,normal,other,--,101,10
Shadow Ball,TM114,ghost,special,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Thunderbolt,TM126,electric,special,90,100,15
Play Rough,TM127,fairy,physical,90,90,10
Amnesia,TM128,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Nasty Plot,TM140,dark,other,--,101,20
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Thunder,TM166,electric,special,110,70,10
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Spite,TM177,ghost,other,--,100,10
Smack Down,TM179,rock,physical,50,100,15
Knock Off,TM181,dark,physical,65,100,20
Burning Jealousy,TM195,fire,special,70,100,5
Lash Out,TM199,dark,physical,75,100,5
Pain Split,TM202,normal,other,--,101,20
Psych Up,TM203,normal,other,--,101,10
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Skitter Smack,TM219,bug,physical,70,90,10
Throat Chop,TM221,dark,physical,80,100,15
Curse,TM224,ghost,other,--,101,10
