name,source,type,category,power,accuracy,pp
Absorb,nature,grass,special,20,100,25
Growth,nature,normal,other,--,101,20
Helping Hand,lv. 3,normal,other,--,101,20
Stun Spore,lv. 6,grass,other,--,75,30
Mega Drain,lv. 9,grass,special,40,100,15
Charm,lv. 12,fairy,other,--,100,20
Magical Leaf,lv. 15,grass,special,60,101,20
Sleep Powder,lv. 18,grass,other,--,75,15
Giga Drain,lv. 21,grass,special,75,100,10
Leech Seed,lv. 24,grass,other,--,90,10
After You,lv. 27,normal,other,--,101,15
Energy Ball,lv. 30,grass,special,90,100,10
Synthesis,lv. 33,grass,other,--,101,5
Sunny Day,lv. 36,fire,other,--,101,5
Entrainment,lv. 39,normal,other,--,100,15
Leaf Storm,lv. 42,grass,special,130,90,5
Charm,TM002,fairy,other,--,100,20
Protect,TM007,normal,other,--,101,10
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Magical Leaf,TM033,grass,special,60,101,20
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Bullet Seed,TM056,grass,physical,25,100,30
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Grass Knot,TM081,grass,special,??,100,20
Rest,TM085,psychic,other,--,101,5
Substitute,TM103,normal,other,--,101,10
Giga Drain,TM111,grass,special,75,100,10
Energy Ball,TM119,grass,special,90,100,10
Encore,TM122,normal,other,--,100,5
Helping Hand,TM130,normal,other,--,101,20
Pollen Puff,TM131,bug,special,90,100,15
Leaf Storm,TM159,grass,special,130,90,5
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Grassy Glide,TM194,grass,physical,55,100,20
