name,source,type,category,power,accuracy,pp
Tail Whip,nature,normal,other,--,100,30
Thunder Shock,nature,electric,special,40,100,30
Play Nice,lv. 4,normal,other,--,101,20
Sweet Kiss,lv. 8,fairy,other,--,75,10
Nuzzle,lv. 12,electric,physical,20,100,20
Nasty Plot,lv. 16,dark,other,--,101,20
Charm,lv. 20,fairy,other,--,100,20
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Protect,TM007,normal,other,--,101,10
Disarming Voice,TM019,fairy,special,40,101,15
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Volt Switch,TM048,electric,special,70,100,20
Rain Dance,TM050,water,other,--,101,5
Body Slam,TM066,normal,physical,85,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Electro Ball,TM072,electric,special,??,100,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Grass Knot,TM081,grass,special,??,100,20
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Substitute,TM103,normal,other,--,101,10
Encore,TM122,normal,other,--,100,5
Surf,TM123,water,special,90,100,15
Thunderbolt,TM126,electric,special,90,100,15
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Reversal,TM134,fighting,physical,??,100,15
Electric Terrain,TM136,electric,other,--,101,10
Nasty Plot,TM140,dark,other,--,101,20
Wild Charge,TM147,electric,physical,90,100,15
Thunder,TM166,electric,special,110,70,10
Tera Blast,TM171,normal,special,80,100,10
Charge,TM173,electric,other,--,101,20
Electroweb,TM211,electric,special,55,95,15
