name,source,type,category,power,accuracy,pp
Nuzzle,nature,electric,physical,20,100,20
Nasty Plot,nature,dark,other,--,101,20
Charm,nature,fairy,other,--,100,20
Sweet Kiss,nature,fairy,other,--,75,10
Play Nice,nature,normal,other,--,101,20
Quick Attack,nature,normal,physical,40,100,30
Tail Whip,nature,normal,other,--,100,30
Thunder Shock,nature,electric,special,40,100,30
Growl,nature,normal,other,--,100,40
Thunder Wave,lv. 4,electric,other,--,90,20
Double Team,lv. 8,normal,other,--,101,15
Electro Ball,lv. 12,electric,special,??,100,10
Feint,lv. 16,normal,physical,30,100,10
Spark,lv. 20,electric,physical,65,100,20
Agility,lv. 24,psychic,other,--,101,30
Iron Tail,lv. 28,steel,physical,100,75,15
Discharge,lv. 32,electric,special,80,100,15
Thunderbolt,lv. 36,electric,special,90,100,15
Light Screen,lv. 40,psychic,other,--,101,30
Thunder,lv. 44,electric,special,110,70,10
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Fake Tears,TM003,dark,other,--,100,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Thief,TM018,dark,physical,60,100,25
Disarming Voice,TM019,fairy,special,40,101,15
Trailblaze,TM020,grass,physical,50,100,20
Charge Beam,TM023,electric,special,50,90,10
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Draining Kiss,TM037,fairy,special,50,100,10
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Volt Switch,TM048,electric,special,70,100,20
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Body Slam,TM066,normal,physical,85,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Electro Ball,TM072,electric,special,??,100,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Grass Knot,TM081,grass,special,??,100,20
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Eerie Impulse,TM096,electric,other,--,100,15
Substitute,TM103,normal,other,--,101,10
Encore,TM122,normal,other,--,100,5
Surf,TM123,water,special,90,100,15
Thunderbolt,TM126,electric,special,90,100,15
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Reversal,TM134,fighting,physical,??,100,15
Electric Terrain,TM136,electric,other,--,101,10
Nasty Plot,TM140,dark,other,--,101,20
Wild Charge,TM147,electric,physical,90,100,15
Thunder,TM166,electric,special,110,70,10
Tera Blast,TM171,normal,special,80,100,10
Charge,TM173,electric,other,--,101,20
Knock Off,TM181,dark,physical,65,100,20
Focus Punch,TM192,fighting,physical,150,100,20
Endeavor,TM205,normal,physical,??,100,5
Electroweb,TM211,electric,special,55,95,15
Alluring Voice,TM227,fairy,special,80,100,10
Upper Hand,TM229,fighting,physical,65,100,15
