name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Protect,nature,normal,other,--,101,10
Self-Destruct,lv. 6,normal,physical,200,100,5
Bug Bite,lv. 9,bug,physical,60,100,20
Take Down,lv. 12,normal,physical,90,85,20
Rapid Spin,lv. 17,normal,physical,50,100,40
Rollout,lv. 20,rock,physical,30,90,20
Curse,lv. 23,ghost,other,--,101,10
Spikes,lv. 28,ground,other,--,101,20
Payback,lv. 31,dark,physical,50,100,10
Explosion,lv. 34,normal,physical,250,100,5
Iron Defense,lv. 39,steel,other,--,101,15
Gyro Ball,lv. 42,steel,physical,??,100,5
Double-Edge,lv. 45,normal,physical,120,100,15
Take Down,TM001,normal,physical,90,85,20
Protect,TM007,normal,other,--,101,10
Struggle Bug,TM015,bug,special,50,100,20
Pounce,TM021,bug,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Swift,TM032,normal,special,60,101,20
Rock Tomb,TM036,rock,physical,60,95,15
Venoshock,TM045,poison,special,65,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Dig,TM055,ground,physical,80,100,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Rock Blast,TM076,rock,physical,25,90,10
Poison Jab,TM083,poison,physical,80,100,20
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Spikes,TM090,ground,other,--,101,20
Toxic Spikes,TM091,poison,other,--,101,20
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Drill Run,TM106,ground,physical,80,95,10
Giga Drain,TM111,grass,special,75,100,10
Stealth Rock,TM116,rock,other,--,101,20
Ice Spinner,TM124,ice,physical,80,100,15
Helping Hand,TM130,normal,other,--,101,20
Reversal,TM134,fighting,physical,??,100,15
Bug Buzz,TM162,bug,special,90,100,10
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Sand Tomb,TM176,ground,physical,35,85,15
Gravity,TM178,psychic,other,--,101,5
Gyro Ball,TM180,steel,physical,??,100,5
Bug Bite,TM182,bug,physical,60,100,20
Lunge,TM185,bug,physical,80,100,15
Pain Split,TM202,normal,other,--,101,20
Double-Edge,TM204,normal,physical,120,100,15
Curse,TM224,ghost,other,--,101,10
