name,source,type,category,power,accuracy,pp
Scratch,nature,normal,physical,40,100,35
Tail Whip,nature,normal,other,--,100,30
Water Gun,lv. 3,water,special,40,100,25
Confusion,lv. 6,psychic,special,50,100,25
Fury Swipes,lv. 9,normal,physical,18,80,15
Water Pulse,lv. 12,water,special,60,100,20
Disable,lv. 15,normal,other,--,100,20
Zen Headbutt,lv. 18,psychic,physical,80,90,15
Screech,lv. 21,normal,other,--,85,40
Aqua Tail,lv. 24,water,physical,90,90,10
Soak,lv. 27,water,other,--,100,20
Psych Up,lv. 30,normal,other,--,101,10
Amnesia,lv. 34,psychic,other,--,101,20
Wonder Room,lv. 39,psychic,other,--,101,10
Take Down,TM001,normal,physical,90,85,20
Protect,TM007,normal,other,--,101,10
Water Pulse,TM011,water,special,60,100,20
Low Kick,TM012,fighting,physical,??,100,20
Psybeam,TM016,psychic,special,65,100,20
Confuse Ray,TM017,ghost,other,--,100,10
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Low Sweep,TM039,fighting,physical,65,100,20
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Rain Dance,TM050,water,other,--,101,5
Psyshock,TM054,psychic,special,80,100,10
Dig,TM055,ground,physical,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Zen Headbutt,TM059,psychic,physical,80,90,15
Shadow Claw,TM061,ghost,physical,70,100,15
Body Slam,TM066,normal,physical,85,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Light Screen,TM075,psychic,other,--,101,30
Waterfall,TM077,water,physical,80,100,15
Metronome,TM080,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Skill Swap,TM098,psychic,other,--,101,10
Substitute,TM103,normal,other,--,101,10
Liquidation,TM110,water,physical,85,100,10
Psychic,TM120,psychic,special,90,100,10
Encore,TM122,normal,other,--,100,5
Surf,TM123,water,special,90,100,15
Amnesia,TM128,psychic,other,--,101,20
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Ice Beam,TM135,ice,special,90,100,10
Nasty Plot,TM140,dark,other,--,101,20
Hydro Pump,TM142,water,special,110,80,5
Blizzard,TM143,ice,special,110,70,5
Tera Blast,TM171,normal,special,80,100,10
Haze,TM174,ice,other,--,101,30
Knock Off,TM181,dark,physical,65,100,20
Vacuum Wave,TM184,fighting,special,40,100,30
Focus Punch,TM192,fighting,physical,150,100,20
Flip Turn,TM196,water,physical,60,100,20
Psych Up,TM203,normal,other,--,101,10
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Whirlpool,TM208,water,special,35,85,15
Muddy Water,TM209,water,special,90,85,10
Psychic Noise,TM228,psychic,special,75,100,10
