name,source,type,category,power,accuracy,pp
Aqua Step,lv. Evolve,water,physical,80,100,10
Pound,nature,normal,physical,40,100,35
Growl,nature,normal,other,--,100,40
Water Gun,nature,water,special,40,100,25
Double Hit,nature,normal,physical,35,90,10
Work Up,lv. 7,normal,other,--,101,30
Wing Attack,lv. 10,flying,physical,60,100,35
Aqua Jet,lv. 13,water,physical,40,100,20
Low Sweep,lv. 17,fighting,physical,65,100,20
Water Pulse,lv. 17,water,special,60,100,20
Aqua Cutter,lv. 21,water,physical,70,100,20
Air Slash,lv. 27,flying,special,75,95,15
Focus Energy,lv. 32,normal,other,--,101,30
Mega Kick,lv. 38,normal,physical,120,75,5
Acrobatics,lv. 43,flying,physical,55,100,15
Liquidation,lv. 47,water,physical,85,100,10
Feather Dance,lv. 52,flying,other,--,100,15
Close Combat,lv. 58,fighting,physical,120,100,5
Wave Crash,lv. 64,water,physical,120,100,10
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Water Pulse,TM011,water,special,60,100,20
Low Kick,TM012,fighting,physical,??,100,20
Acrobatics,TM014,flying,physical,55,100,15
Disarming Voice,TM019,fairy,special,40,101,15
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Low Sweep,TM039,fighting,physical,65,100,20
Air Cutter,TM040,flying,special,60,95,25
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Rain Dance,TM050,water,other,--,101,5
Brick Break,TM058,fighting,physical,75,100,15
U-turn,TM060,bug,physical,70,100,20
Bulk Up,TM064,fighting,other,--,101,20
Air Slash,TM065,flying,special,75,95,15
Sleep Talk,TM070,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Swords Dance,TM088,normal,other,--,101,20
Substitute,TM103,normal,other,--,101,10
Liquidation,TM110,water,physical,85,100,10
Encore,TM122,normal,other,--,100,5
Surf,TM123,water,special,90,100,15
Ice Spinner,TM124,ice,physical,80,100,15
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Reversal,TM134,fighting,physical,??,100,15
Misty Terrain,TM139,fairy,other,--,101,10
Hydro Pump,TM142,water,special,110,80,5
Water Pledge,TM145,water,special,80,100,10
Giga Impact,TM152,normal,physical,150,90,5
Hydro Cannon,TM154,water,special,150,90,5
Hurricane,TM160,flying,special,110,70,10
Hyper Beam,TM163,normal,special,150,90,5
Brave Bird,TM164,flying,physical,120,100,15
Close Combat,TM167,fighting,physical,120,100,5
Tera Blast,TM171,normal,special,80,100,10
Knock Off,TM181,dark,physical,65,100,20
Flip Turn,TM196,water,physical,60,100,20
Psych Up,TM203,normal,other,--,101,10
Endeavor,TM205,normal,physical,??,100,5
Whirlpool,TM208,water,special,35,85,15
Triple Axel,TM212,ice,physical,20,90,10
Coaching,TM213,fighting,other,--,101,10
Feather Dance,TM216,flying,other,--,100,15
Upper Hand,TM229,fighting,physical,65,100,15
