name,source,type,category,power,accuracy,pp
Pound,nature,normal,physical,40,100,35
Growl,nature,normal,other,--,100,40
Water Gun,nature,water,special,40,100,25
Work Up,lv. 7,normal,other,--,101,30
Wing Attack,lv. 10,flying,physical,60,100,35
Aqua Jet,lv. 13,water,physical,40,100,20
Double Hit,lv. 17,normal,physical,35,90,10
Aqua Cutter,lv. 21,water,physical,70,100,20
Air Slash,lv. 24,flying,special,75,95,15
Focus Energy,lv. 28,normal,other,--,101,30
Acrobatics,lv. 31,flying,physical,55,100,15
Liquidation,lv. 35,water,physical,85,100,10
Take Down,TM001,normal,physical,90,85,20
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Acrobatics,TM014,flying,physical,55,100,15
Disarming Voice,TM019,fairy,special,40,101,15
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Swift,TM032,normal,special,60,101,20
Air Cutter,TM040,flying,special,60,95,25
Endure,TM047,normal,other,--,101,10
Rain Dance,TM050,water,other,--,101,5
Air Slash,TM065,flying,special,75,95,15
Sleep Talk,TM070,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Substitute,TM103,normal,other,--,101,10
Liquidation,TM110,water,physical,85,100,10
Encore,TM122,normal,other,--,100,5
Surf,TM123,water,special,90,100,15
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Misty Terrain,TM139,fairy,other,--,101,10
Hydro Pump,TM142,water,special,110,80,5
Water Pledge,TM145,water,special,80,100,10
Brave Bird,TM164,flying,physical,120,100,15
Tera Blast,TM171,normal,special,80,100,10
Psych Up,TM203,normal,other,--,101,10
Whirlpool,TM208,water,special,35,85,15
