name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Poison Sting,nature,poison,physical,15,100,35
Harden,lv. 4,normal,other,--,101,30
Water Gun,lv. 8,water,special,40,100,25
Fell Stinger,lv. 12,bug,physical,50,100,25
Minimize,lv. 16,normal,other,--,101,10
Spikes,lv. 20,ground,other,--,101,20
Brine,lv. 24,water,special,65,100,10
Poison Jab,lv. 28,poison,physical,80,100,20
Pin Missile,lv. 32,bug,physical,25,95,20
Toxic Spikes,lv. 36,poison,other,--,101,20
Stockpile,lv. 40,normal,other,--,101,20
Spit Up,lv. 40,normal,special,??,100,10
Toxic,lv. 44,poison,other,--,90,10
Aqua Tail,lv. 48,water,physical,90,90,10
Acupressure,lv. 52,normal,other,--,101,30
Destiny Bond,lv. 56,ghost,other,--,101,5
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Water Pulse,TM011,water,special,60,100,20
Acid Spray,TM013,poison,special,40,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Poison Tail,TM026,poison,physical,50,100,25
Hex,TM029,ghost,special,65,100,10
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Venoshock,TM045,poison,special,65,100,10
Endure,TM047,normal,other,--,101,10
Rain Dance,TM050,water,other,--,101,5
Sleep Talk,TM070,normal,other,--,101,10
Waterfall,TM077,water,physical,80,100,15
Thunder Wave,TM082,electric,other,--,90,20
Poison Jab,TM083,poison,physical,80,100,20
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Swords Dance,TM088,normal,other,--,101,20
Spikes,TM090,ground,other,--,101,20
Toxic Spikes,TM091,poison,other,--,101,20
Dark Pulse,TM094,dark,special,80,100,15
Gunk Shot,TM102,poison,physical,120,80,5
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Liquidation,TM110,water,physical,85,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Surf,TM123,water,special,90,100,15
Reversal,TM134,fighting,physical,??,100,15
Ice Beam,TM135,ice,special,90,100,10
Hydro Pump,TM142,water,special,110,80,5
Blizzard,TM143,ice,special,110,70,5
Sludge Bomb,TM148,poison,special,90,100,10
Giga Impact,TM152,normal,physical,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Haze,TM174,ice,other,--,101,30
Toxic,TM175,poison,other,--,90,10
Spite,TM177,ghost,other,--,100,10
Gyro Ball,TM180,steel,physical,??,100,5
Flip Turn,TM196,water,physical,60,100,20
Lash Out,TM199,dark,physical,75,100,5
Scale Shot,TM200,dragon,physical,25,90,20
Pain Split,TM202,normal,other,--,101,20
Double-Edge,TM204,normal,physical,120,100,15
Whirlpool,TM208,water,special,35,85,15
Sludge Wave,TM214,poison,special,95,100,10
Throat Chop,TM221,dark,physical,80,100,15
Curse,TM224,ghost,other,--,101,10
