name,source,type,category,power,accuracy,pp
Revival Blessing,lv. Evolve,normal,other,--,101,1
Tackle,nature,normal,physical,40,100,35
Defense Curl,nature,normal,other,--,101,40
Confusion,nature,psychic,special,50,100,25
Sand Attack,lv. 4,ground,other,--,100,15
Struggle Bug,lv. 7,bug,special,50,100,20
Rollout,lv. 11,rock,physical,30,90,20
Psybeam,lv. 15,psychic,special,65,100,20
Bug Bite,lv. 20,bug,physical,60,100,20
Take Down,lv. 24,normal,physical,90,85,20
Extrasensory,lv. 29,psychic,special,80,100,20
Lunge,lv. 35,bug,physical,80,100,15
Speed Swap,lv. 40,psychic,other,--,101,10
Power Swap,lv. 40,psychic,other,--,101,10
Guard Swap,lv. 40,psychic,other,--,101,10
Bug Buzz,lv. 45,bug,special,90,100,10
Psychic,lv. 50,psychic,special,90,100,10
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Struggle Bug,TM015,bug,special,50,100,20
Psybeam,TM016,psychic,special,65,100,20
Confuse Ray,TM017,ghost,other,--,100,10
Thief,TM018,dark,physical,60,100,25
Pounce,TM021,bug,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Mud Shot,TM035,ground,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Stored Power,TM041,psychic,special,20,100,10
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Psyshock,TM054,psychic,special,80,100,10
Dig,TM055,ground,physical,80,100,10
Zen Headbutt,TM059,psychic,physical,80,90,15
Sleep Talk,TM070,normal,other,--,101,10
Electro Ball,TM072,electric,special,??,100,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Dazzling Gleam,TM079,fairy,special,80,100,10
Rest,TM085,psychic,other,--,101,5
Imprison,TM092,psychic,other,--,101,10
Leech Life,TM095,bug,physical,80,100,10
Skill Swap,TM098,psychic,other,--,101,10
Power Gem,TM101,rock,special,80,100,20
Gunk Shot,TM102,poison,physical,120,80,5
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
X-Scissor,TM105,bug,physical,80,100,15
Trick,TM109,psychic,other,--,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Energy Ball,TM119,grass,special,90,100,10
Psychic,TM120,psychic,special,90,100,10
Calm Mind,TM129,psychic,other,--,101,20
Earth Power,TM133,ground,special,90,100,10
Psychic Terrain,TM138,psychic,other,--,101,10
Sludge Bomb,TM148,poison,special,90,100,10
Giga Impact,TM152,normal,physical,150,90,5
Trick Room,TM161,psychic,other,--,101,5
Bug Buzz,TM162,bug,special,90,100,10
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Gravity,TM178,psychic,other,--,101,5
Bug Bite,TM182,bug,physical,60,100,20
Lunge,TM185,bug,physical,80,100,15
Weather Ball,TM193,normal,special,50,100,10
Poltergeist,TM198,ghost,physical,110,90,5
Psych Up,TM203,normal,other,--,101,10
Future Sight,TM217,psychic,special,120,100,10
Expanding Force,TM218,psychic,special,80,100,10
Skitter Smack,TM219,bug,physical,70,90,10
Psychic Noise,TM228,psychic,special,75,100,10
