name,source,type,category,power,accuracy,pp
Thunder Punch,lv. Evolve,electric,physical,75,100,15
Electro Ball,nature,electric,special,??,100,10
Discharge,nature,electric,special,80,100,15
Nasty Plot,nature,dark,other,--,101,20
Feint,nature,normal,physical,30,100,10
Iron Tail,nature,steel,physical,100,75,15
Spark,nature,electric,physical,65,100,20
Charm,nature,fairy,other,--,100,20
Sweet Kiss,nature,fairy,other,--,75,10
Play Nice,nature,normal,other,--,101,20
Nuzzle,nature,electric,physical,20,100,20
Quick Attack,nature,normal,physical,40,100,30
Agility,nature,psychic,other,--,101,30
Thunder,nature,electric,special,110,70,10
Thunder Wave,nature,electric,other,--,90,20
Thunder Shock,nature,electric,special,40,100,30
Growl,nature,normal,other,--,100,40
Tail Whip,nature,normal,other,--,100,30
Double Team,nature,normal,other,--,101,15
Light Screen,nature,psychic,other,--,101,30
Thunderbolt,lv. 5,electric,special,90,100,15
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Fake Tears,TM003,dark,other,--,100,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Thief,TM018,dark,physical,60,100,25
Disarming Voice,TM019,fairy,special,40,101,15
Trailblaze,TM020,grass,physical,50,100,20
Charge Beam,TM023,electric,special,50,90,10
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Draining Kiss,TM037,fairy,special,50,100,10
Stored Power,TM041,psychic,special,20,100,10
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Volt Switch,TM048,electric,special,70,100,20
Rain Dance,TM050,water,other,--,101,5
Psyshock,TM054,psychic,special,80,100,10
Dig,TM055,ground,physical,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Body Slam,TM066,normal,physical,85,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Electro Ball,TM072,electric,special,??,100,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Grass Knot,TM081,grass,special,??,100,20
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Eerie Impulse,TM096,electric,other,--,100,15
Skill Swap,TM098,psychic,other,--,101,10
Substitute,TM103,normal,other,--,101,10
Psychic,TM120,psychic,special,90,100,10
Encore,TM122,normal,other,--,100,5
Surf,TM123,water,special,90,100,15
Thunderbolt,TM126,electric,special,90,100,15
Play Rough,TM127,fairy,physical,90,90,10
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Reversal,TM134,fighting,physical,??,100,15
Electric Terrain,TM136,electric,other,--,101,10
Psychic Terrain,TM138,psychic,other,--,101,10
Nasty Plot,TM140,dark,other,--,101,20
Wild Charge,TM147,electric,physical,90,100,15
Giga Impact,TM152,normal,physical,150,90,5
Focus Blast,TM158,fighting,special,120,70,5
Hyper Beam,TM163,normal,special,150,90,5
Thunder,TM166,electric,special,110,70,10
Tera Blast,TM171,normal,special,80,100,10
Charge,TM173,electric,other,--,101,20
Knock Off,TM181,dark,physical,65,100,20
Focus Punch,TM192,fighting,physical,150,100,20
Endeavor,TM205,normal,physical,??,100,5
Electroweb,TM211,electric,special,55,95,15
Expanding Force,TM218,psychic,special,80,100,10
Alluring Voice,TM227,fairy,special,80,100,10
Psychic Noise,TM228,psychic,special,75,100,10
Upper Hand,TM229,fighting,physical,65,100,15
