name,source,type,category,power,accuracy,pp
Quick Attack,nature,normal,physical,40,100,30
Endure,nature,normal,other,--,101,10
Feint,lv. 4,normal,physical,30,100,10
Metal Claw,lv. 8,steel,physical,50,95,35
Counter,lv. 12,fighting,physical,??,100,20
Work Up,lv. 16,normal,other,--,101,30
Rock Smash,lv. 20,fighting,physical,40,100,15
Vacuum Wave,lv. 24,fighting,special,40,100,30
Screech,lv. 28,normal,other,--,85,40
Quick Guard,lv. 32,fighting,other,--,101,15
Force Palm,lv. 36,fighting,physical,60,100,10
Swords Dance,lv. 40,normal,other,--,101,20
Helping Hand,lv. 44,normal,other,--,101,20
Copycat,lv. 48,normal,other,--,101,20
Final Gambit,lv. 52,fighting,special,??,100,5
Reversal,lv. 56,fighting,physical,??,100,15
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Bulldoze,TM028,ground,physical,60,100,20
Metal Claw,TM031,steel,physical,50,95,35
Swift,TM032,normal,special,60,101,20
Rock Tomb,TM036,rock,physical,60,95,15
Low Sweep,TM039,fighting,physical,65,100,20
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Zen Headbutt,TM059,psychic,physical,80,90,15
Shadow Claw,TM061,ghost,physical,70,100,15
Bulk Up,TM064,fighting,other,--,101,20
Thunder Punch,TM068,electric,physical,75,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Drain Punch,TM073,fighting,physical,75,100,10
Poison Jab,TM083,poison,physical,80,100,20
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Swords Dance,TM088,normal,other,--,101,20
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Helping Hand,TM130,normal,other,--,101,20
Reversal,TM134,fighting,physical,??,100,15
Nasty Plot,TM140,dark,other,--,101,20
Earthquake,TM149,ground,physical,100,100,10
Focus Blast,TM158,fighting,special,120,70,5
Close Combat,TM167,fighting,physical,120,100,5
Tera Blast,TM171,normal,special,80,100,10
Vacuum Wave,TM184,fighting,special,40,100,30
Focus Punch,TM192,fighting,physical,150,100,20
Psych Up,TM203,normal,other,--,101,10
Coaching,TM213,fighting,other,--,101,10
Upper Hand,TM229,fighting,physical,65,100,15
