name,source,type,category,power,accuracy,pp
Double Team,nature,normal,other,--,101,15
Astonish,nature,ghost,physical,30,100,15
Thunder Shock,lv. 5,electric,special,40,100,30
Confuse Ray,lv. 10,ghost,other,--,100,10
Charge,lv. 15,electric,other,--,101,20
Electro Ball,lv. 20,electric,special,??,100,10
Thunder Wave,lv. 25,electric,other,--,90,20
Shock Wave,lv. 30,electric,special,60,101,20
Hex,lv. 35,ghost,special,65,100,10
Substitute,lv. 40,normal,other,--,101,10
Trick,lv. 45,psychic,other,--,100,10
Discharge,lv. 50,electric,special,80,100,15
Uproar,lv. 55,normal,special,90,100,10
Protect,TM007,normal,other,--,101,10
Confuse Ray,TM017,ghost,other,--,100,10
Thief,TM018,dark,physical,60,100,25
Charge Beam,TM023,electric,special,50,90,10
Facade,TM025,normal,physical,70,100,20
Hex,TM029,ghost,special,65,100,10
Swift,TM032,normal,special,60,101,20
Stored Power,TM041,psychic,special,20,100,10
Night Shade,TM042,ghost,special,??,100,15
Endure,TM047,normal,other,--,101,10
Volt Switch,TM048,electric,special,70,100,20
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Foul Play,TM062,dark,physical,95,100,15
Sleep Talk,TM070,normal,other,--,101,10
Electro Ball,TM072,electric,special,??,100,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Dark Pulse,TM094,dark,special,80,100,15
Eerie Impulse,TM096,electric,other,--,100,15
Substitute,TM103,normal,other,--,101,10
Will-O-Wisp,TM107,fire,other,--,85,15
Trick,TM109,psychic,other,--,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Thunderbolt,TM126,electric,special,90,100,15
Helping Hand,TM130,normal,other,--,101,20
Electric Terrain,TM136,electric,other,--,101,10
Nasty Plot,TM140,dark,other,--,101,20
Thunder,TM166,electric,special,110,70,10
Tera Blast,TM171,normal,special,80,100,10
Charge,TM173,electric,other,--,101,20
Spite,TM177,ghost,other,--,100,10
Uproar,TM191,normal,special,90,100,10
Poltergeist,TM198,ghost,physical,110,90,5
Pain Split,TM202,normal,other,--,101,20
Electroweb,TM211,electric,special,55,95,15
