name,source,type,category,power,accuracy,pp
Leer,nature,normal,other,--,100,30
Peck,nature,flying,physical,35,100,35
Hone Claws,lv. 6,dark,other,--,101,15
Wing Attack,lv. 12,flying,physical,60,100,35
Tailwind,lv. 18,flying,other,--,101,15
Scary Face,lv. 24,normal,other,--,100,10
Aerial Ace,lv. 30,flying,physical,60,101,20
Slash,lv. 36,normal,physical,70,100,20
Whirlwind,lv. 42,normal,other,--,101,20
Crush Claw,lv. 48,normal,physical,75,95,10
Air Slash,lv. 55,flying,special,75,95,15
Defog,lv. 60,flying,other,--,101,15
Thrash,lv. 66,normal,physical,120,100,10
Brave Bird,lv. 72,flying,physical,120,100,15
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Acrobatics,TM014,flying,physical,55,100,15
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Swift,TM032,normal,special,60,101,20
Rock Tomb,TM036,rock,physical,60,95,15
Air Cutter,TM040,flying,special,60,95,25
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Zen Headbutt,TM059,psychic,physical,80,90,15
U-turn,TM060,bug,physical,70,100,20
Shadow Claw,TM061,ghost,physical,70,100,15
Bulk Up,TM064,fighting,other,--,101,20
Air Slash,TM065,flying,special,75,95,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Fly,TM097,flying,physical,90,95,15
Substitute,TM103,normal,other,--,101,10
Tailwind,TM113,flying,other,--,101,15
Heat Wave,TM118,fire,special,95,90,10
Helping Hand,TM130,normal,other,--,101,20
Hurricane,TM160,flying,special,110,70,10
Brave Bird,TM164,flying,physical,120,100,15
Close Combat,TM167,fighting,physical,120,100,5
Tera Blast,TM171,normal,special,80,100,10
Dual Wingbeat,TM197,flying,physical,40,90,10
Double-Edge,TM204,normal,physical,120,100,15
Feather Dance,TM216,flying,other,--,100,15
