name,source,type,category,power,accuracy,pp
Sand Attack,nature,ground,other,--,100,15
Wrap,nature,normal,physical,15,90,20
Minimize,nature,normal,other,--,101,10
Brutal Swing,nature,dark,physical,60,100,20
Bulldoze,lv. 15,ground,physical,60,100,20
Headbutt,lv. 20,normal,physical,70,100,15
Glare,lv. 25,normal,other,--,100,30
Dig,lv. 30,ground,physical,80,100,10
Sandstorm,lv. 35,rock,other,--,101,10
Slam,lv. 42,normal,physical,80,75,20
Coil,lv. 49,poison,other,--,101,20
Sand Tomb,lv. 51,ground,physical,35,85,15
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Fire Fang,TM008,fire,physical,65,95,15
Thunder Fang,TM009,electric,physical,65,95,15
Facade,TM025,normal,physical,70,100,20
Poison Tail,TM026,poison,physical,50,100,25
Bulldoze,TM028,ground,physical,60,100,20
Mud Shot,TM035,ground,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Endure,TM047,normal,other,--,101,10
Sandstorm,TM051,rock,other,--,101,10
Dig,TM055,ground,physical,80,100,10
Zen Headbutt,TM059,psychic,physical,80,90,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Rock Blast,TM076,rock,physical,25,90,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Body Press,TM089,fighting,physical,80,100,10
Iron Head,TM099,steel,physical,80,100,15
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Drill Run,TM106,ground,physical,80,95,10
Stealth Rock,TM116,rock,other,--,101,20
Earth Power,TM133,ground,special,90,100,10
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Giga Impact,TM152,normal,physical,150,90,5
Outrage,TM156,dragon,physical,120,100,10
Hurricane,TM160,flying,special,110,70,10
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Sand Tomb,TM176,ground,physical,35,85,15
High Horsepower,TM186,ground,physical,95,95,10
Scale Shot,TM200,dragon,physical,25,90,20
Endeavor,TM205,normal,physical,??,100,5
Scorching Sands,TM215,ground,special,70,100,10
Skitter Smack,TM219,bug,physical,70,90,10
