name,source,type,category,power,accuracy,pp
Leer,nature,normal,other,--,100,30
Power Trip,nature,dark,physical,20,100,10
Sand Attack,lv. 3,ground,other,--,100,15
Hone Claws,lv. 6,dark,other,--,101,15
Sand Tomb,lv. 9,ground,physical,35,85,15
Scary Face,lv. 12,normal,other,--,100,10
Bite,lv. 15,dark,physical,60,100,25
Torment,lv. 18,dark,other,--,100,15
Dig,lv. 21,ground,physical,80,100,10
Swagger,lv. 24,normal,other,--,85,15
Crunch,lv. 27,dark,physical,80,100,15
Sandstorm,lv. 30,rock,other,--,101,10
Foul Play,lv. 33,dark,physical,95,100,15
Earthquake,lv. 36,ground,physical,100,100,10
Thrash,lv. 39,normal,physical,120,100,10
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Fire Fang,TM008,fire,physical,65,95,15
Thunder Fang,TM009,electric,physical,65,95,15
Thief,TM018,dark,physical,60,100,25
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Snarl,TM030,dark,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sandstorm,TM051,rock,other,--,101,10
Dig,TM055,ground,physical,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Shadow Claw,TM061,ghost,physical,70,100,15
Foul Play,TM062,dark,physical,95,100,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Grass Knot,TM081,grass,special,??,100,20
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Taunt,TM087,dark,other,--,100,20
Dark Pulse,TM094,dark,special,80,100,15
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Stealth Rock,TM116,rock,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Earth Power,TM133,ground,special,90,100,10
Sludge Bomb,TM148,poison,special,90,100,10
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Sand Tomb,TM176,ground,physical,35,85,15
Spite,TM177,ghost,other,--,100,10
Lash Out,TM199,dark,physical,75,100,5
Double-Edge,TM204,normal,physical,120,100,15
Scorching Sands,TM215,ground,special,70,100,10
Skitter Smack,TM219,bug,physical,70,90,10
Curse,TM224,ghost,other,--,101,10
