name,source,type,category,power,accuracy,pp
Thunder Wave,nature,electric,other,--,90,20
Electric Terrain,nature,electric,other,--,101,10
Supersonic,nature,normal,other,--,55,20
Thunder Shock,nature,electric,special,40,100,30
Spark,lv. 7,electric,physical,65,100,20
Bulldoze,lv. 14,ground,physical,60,100,20
Charge Beam,lv. 21,electric,special,50,90,10
Tri Attack,lv. 28,normal,special,80,100,10
Screech,lv. 35,normal,other,--,85,40
Heavy Slam,lv. 42,steel,physical,??,100,10
Metal Sound,lv. 49,steel,other,--,85,40
Discharge,lv. 56,electric,special,80,100,15
Earth Power,lv. 63,ground,special,90,100,10
Mirror Coat,lv. 70,psychic,special,??,100,20
Gravity,lv. 77,psychic,other,--,101,5
Zap Cannon,lv. 84,electric,special,120,50,5
Magnetic Flux,lv. 91,electric,other,--,101,20
Take Down,TM001,normal,physical,90,85,20
Protect,TM007,normal,other,--,101,10
Charge Beam,TM023,electric,special,50,90,10
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Swift,TM032,normal,special,60,101,20
Mud Shot,TM035,ground,special,55,95,15
Endure,TM047,normal,other,--,101,10
Volt Switch,TM048,electric,special,70,100,20
Sunny Day,TM049,fire,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Electro Ball,TM072,electric,special,??,100,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Thunder Wave,TM082,electric,other,--,90,20
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Body Press,TM089,fighting,physical,80,100,10
Spikes,TM090,ground,other,--,101,20
Flash Cannon,TM093,steel,special,80,100,10
Eerie Impulse,TM096,electric,other,--,100,15
Power Gem,TM101,rock,special,80,100,20
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Stealth Rock,TM116,rock,other,--,101,20
Heavy Slam,TM121,steel,physical,??,100,10
Thunderbolt,TM126,electric,special,90,100,15
Earth Power,TM133,ground,special,90,100,10
Electric Terrain,TM136,electric,other,--,101,10
Wild Charge,TM147,electric,physical,90,100,15
Earthquake,TM149,ground,physical,100,100,10
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Thunder,TM166,electric,special,110,70,10
Tera Blast,TM171,normal,special,80,100,10
Charge,TM173,electric,other,--,101,20
Sand Tomb,TM176,ground,physical,35,85,15
Gravity,TM178,psychic,other,--,101,5
High Horsepower,TM186,ground,physical,95,95,10
Supercell Slam,TM210,electric,physical,100,95,15
Electroweb,TM211,electric,special,55,95,15
Scorching Sands,TM215,ground,special,70,100,10
Metal Sound,TM223,steel,other,--,85,40
