name,source,type,category,power,accuracy,pp
Bullet Punch,lv. Evolve,steel,physical,40,100,30
False Swipe,nature,normal,physical,40,100,40
Wing Attack,nature,flying,physical,60,100,35
Leer,nature,normal,other,--,100,30
Agility,nature,psychic,other,--,101,30
Quick Attack,nature,normal,physical,40,100,30
Air Slash,nature,flying,special,75,95,15
Fury Cutter,nature,bug,physical,40,95,20
Metal Claw,lv. 12,steel,physical,50,95,35
Double Team,lv. 16,normal,other,--,101,15
Double Hit,lv. 20,normal,physical,35,90,10
Slash,lv. 24,normal,physical,70,100,20
Focus Energy,lv. 28,normal,other,--,101,30
Iron Defense,lv. 32,steel,other,--,101,15
Iron Head,lv. 36,steel,physical,80,100,15
X-Scissor,lv. 40,bug,physical,80,100,15
Swords Dance,lv. 44,normal,other,--,101,20
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Acrobatics,TM014,flying,physical,55,100,15
Struggle Bug,TM015,bug,special,50,100,20
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Pounce,TM021,bug,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Metal Claw,TM031,steel,physical,50,95,35
Swift,TM032,normal,special,60,101,20
Air Cutter,TM040,flying,special,60,95,25
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
False Swipe,TM057,normal,physical,40,100,40
Brick Break,TM058,fighting,physical,75,100,15
U-turn,TM060,bug,physical,70,100,20
Air Slash,TM065,flying,special,75,95,15
Sleep Talk,TM070,normal,other,--,101,10
Light Screen,TM075,psychic,other,--,101,30
Rest,TM085,psychic,other,--,101,5
Swords Dance,TM088,normal,other,--,101,20
Flash Cannon,TM093,steel,special,80,100,10
Iron Head,TM099,steel,physical,80,100,15
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
X-Scissor,TM105,bug,physical,80,100,15
Tailwind,TM113,flying,other,--,101,15
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Reversal,TM134,fighting,physical,??,100,15
Giga Impact,TM152,normal,physical,150,90,5
Bug Buzz,TM162,bug,special,90,100,10
Hyper Beam,TM163,normal,special,150,90,5
Close Combat,TM167,fighting,physical,120,100,5
Steel Beam,TM170,steel,special,140,95,5
Tera Blast,TM171,normal,special,80,100,10
Knock Off,TM181,dark,physical,65,100,20
Bug Bite,TM182,bug,physical,60,100,20
Vacuum Wave,TM184,fighting,special,40,100,30
Lunge,TM185,bug,physical,80,100,15
Dual Wingbeat,TM197,flying,physical,40,90,10
Double-Edge,TM204,normal,physical,120,100,15
Skitter Smack,TM219,bug,physical,70,90,10
Curse,TM224,ghost,other,--,101,10
Hard Press,TM225,steel,physical,??,100,10
