name,source,type,category,power,accuracy,pp
Spicy Extract,lv. Evolve,grass,other,--,101,15
Flamethrower,lv. Evolve,fire,special,90,100,15
Leer,nature,normal,other,--,100,30
Fire Fang,nature,fire,physical,65,95,15
Leafage,nature,grass,physical,40,100,40
Bite,lv. 4,dark,physical,60,100,25
Growth,lv. 10,normal,other,--,101,20
Razor Leaf,lv. 13,grass,physical,55,95,25
Sunny Day,lv. 17,fire,other,--,101,5
Bullet Seed,lv. 21,grass,physical,25,100,30
Headbutt,lv. 24,normal,physical,70,100,15
Zen Headbutt,lv. 28,psychic,physical,80,90,15
Worry Seed,lv. 33,grass,other,--,100,10
Crunch,lv. 38,dark,physical,80,100,15
Seed Bomb,lv. 44,grass,physical,80,100,15
Solar Beam,lv. 48,grass,special,120,100,10
Overheat,lv. 48,fire,special,130,90,5
Take Down,TM001,normal,physical,90,85,20
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Fire Fang,TM008,fire,physical,65,95,15
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Magical Leaf,TM033,grass,special,60,101,20
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Bullet Seed,TM056,grass,physical,25,100,30
Zen Headbutt,TM059,psychic,physical,80,90,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Grass Knot,TM081,grass,special,??,100,20
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Substitute,TM103,normal,other,--,101,10
Will-O-Wisp,TM107,fire,other,--,85,15
Crunch,TM108,dark,physical,80,100,15
Giga Drain,TM111,grass,special,75,100,10
Energy Ball,TM119,grass,special,90,100,10
Flamethrower,TM125,fire,special,90,100,15
Helping Hand,TM130,normal,other,--,101,20
Grassy Terrain,TM137,grass,other,--,101,10
Fire Blast,TM141,fire,special,110,85,5
Giga Impact,TM152,normal,physical,150,90,5
Overheat,TM157,fire,special,130,90,5
Leaf Storm,TM159,grass,special,130,90,5
Hyper Beam,TM163,normal,special,150,90,5
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Super Fang,TM183,normal,physical,??,90,10
Grassy Glide,TM194,grass,physical,55,100,20
Burning Jealousy,TM195,fire,special,70,100,5
Lash Out,TM199,dark,physical,75,100,5
Endeavor,TM205,normal,physical,??,100,5
Temper Flare,TM207,fire,physical,75,100,10
