name,source,type,category,power,accuracy,pp
Pound,nature,normal,physical,40,100,35
Sing,nature,normal,other,--,55,15
Disable,nature,normal,other,--,100,20
Howl,lv. 7,normal,other,--,101,40
Noble Roar,lv. 14,normal,other,--,100,30
Bite,lv. 21,dark,physical,60,100,25
Body Slam,lv. 28,normal,physical,85,100,15
Rest,lv. 35,psychic,other,--,101,5
Play Rough,lv. 42,fairy,physical,90,90,10
Hyper Voice,lv. 49,normal,special,90,100,10
Psychic Fangs,lv. 56,psychic,physical,85,100,10
Crunch,lv. 63,dark,physical,80,100,15
Wish,lv. 70,normal,other,--,101,10
Gyro Ball,lv. 77,steel,physical,??,100,5
Perish Song,lv. 84,normal,other,--,101,5
Boomburst,lv. 91,normal,special,140,100,10
Take Down,TM001,normal,physical,90,85,20
Fake Tears,TM003,dark,other,--,100,20
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Fire Fang,TM008,fire,physical,65,95,15
Thunder Fang,TM009,electric,physical,65,95,15
Ice Fang,TM010,ice,physical,65,95,15
Water Pulse,TM011,water,special,60,100,20
Psybeam,TM016,psychic,special,65,100,20
Facade,TM025,normal,physical,70,100,20
Rock Tomb,TM036,rock,physical,60,95,15
Stored Power,TM041,psychic,special,20,100,10
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Snowscape,TM052,ice,other,--,101,10
Psyshock,TM054,psychic,special,80,100,10
Dig,TM055,ground,physical,80,100,10
Zen Headbutt,TM059,psychic,physical,80,90,15
Psychic Fangs,TM063,psychic,physical,85,100,10
Bulk Up,TM064,fighting,other,--,101,20
Body Slam,TM066,normal,physical,85,100,15
Fire Punch,TM067,fire,physical,75,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Drain Punch,TM073,fighting,physical,75,100,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Dazzling Gleam,TM079,fairy,special,80,100,10
Metronome,TM080,normal,other,--,101,10
Grass Knot,TM081,grass,special,??,100,20
Thunder Wave,TM082,electric,other,--,90,20
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Imprison,TM092,psychic,other,--,101,10
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Trick,TM109,psychic,other,--,100,10
Stealth Rock,TM116,rock,other,--,101,20
Hyper Voice,TM117,normal,special,90,100,10
Psychic,TM120,psychic,special,90,100,10
Encore,TM122,normal,other,--,100,5
Flamethrower,TM125,fire,special,90,100,15
Thunderbolt,TM126,electric,special,90,100,15
Play Rough,TM127,fairy,physical,90,90,10
Amnesia,TM128,psychic,other,--,101,20
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Ice Beam,TM135,ice,special,90,100,10
Psychic Terrain,TM138,psychic,other,--,101,10
Misty Terrain,TM139,fairy,other,--,101,10
Fire Blast,TM141,fire,special,110,85,5
Blizzard,TM143,ice,special,110,70,5
Giga Impact,TM152,normal,physical,150,90,5
Focus Blast,TM158,fighting,special,120,70,5
Trick Room,TM161,psychic,other,--,101,5
Hyper Beam,TM163,normal,special,150,90,5
Thunder,TM166,electric,special,110,70,10
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Gyro Ball,TM180,steel,physical,??,100,5
Uproar,TM191,normal,special,90,100,10
Misty Explosion,TM201,fairy,special,100,100,5
Psych Up,TM203,normal,other,--,101,10
Double-Edge,TM204,normal,physical,120,100,15
Expanding Force,TM218,psychic,special,80,100,10
Psychic Noise,TM228,psychic,special,75,100,10
