name,source,type,category,power,accuracy,pp
Withdraw,nature,water,other,--,101,40
Astonish,nature,ghost,physical,30,100,15
Aromatic Mist,lv. 6,fairy,other,--,101,20
Mega Drain,lv. 12,grass,special,40,100,15
Sucker Punch,lv. 24,dark,physical,70,100,5
Sweet Scent,lv. 30,normal,other,--,100,20
Giga Drain,lv. 36,grass,special,75,100,10
Nasty Plot,lv. 42,dark,other,--,101,20
Shadow Ball,lv. 48,ghost,special,80,100,15
Memento,lv. 54,dark,other,--,100,10
Shell Smash,lv. 60,normal,other,--,101,15
Protect,TM007,normal,other,--,101,10
Psybeam,TM016,psychic,special,65,100,20
Confuse Ray,TM017,ghost,other,--,100,10
Facade,TM025,normal,physical,70,100,20
Hex,TM029,ghost,special,65,100,10
Magical Leaf,TM033,grass,special,60,101,20
Stored Power,TM041,psychic,special,20,100,10
Night Shade,TM042,ghost,special,??,100,15
Endure,TM047,normal,other,--,101,10
Psyshock,TM054,psychic,special,80,100,10
Foul Play,TM062,dark,physical,95,100,15
Sleep Talk,TM070,normal,other,--,101,10
Metronome,TM080,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Imprison,TM092,psychic,other,--,101,10
Dark Pulse,TM094,dark,special,80,100,15
Skill Swap,TM098,psychic,other,--,101,10
Substitute,TM103,normal,other,--,101,10
Will-O-Wisp,TM107,fire,other,--,85,15
Trick,TM109,psychic,other,--,100,10
Giga Drain,TM111,grass,special,75,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Psychic,TM120,psychic,special,90,100,10
Calm Mind,TM129,psychic,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Nasty Plot,TM140,dark,other,--,101,20
Phantom Force,TM151,ghost,physical,90,100,10
Trick Room,TM161,psychic,other,--,101,5
Tera Blast,TM171,normal,special,80,100,10
Spite,TM177,ghost,other,--,100,10
Poltergeist,TM198,ghost,physical,110,90,5
Curse,TM224,ghost,other,--,101,10
