name,source,type,category,power,accuracy,pp
Torch Song,lv. Evolve,fire,special,80,100,10
Ember,nature,fire,special,40,100,25
Tackle,nature,normal,physical,40,100,35
Leer,nature,normal,other,--,100,30
Lick,lv. 7,ghost,physical,30,100,30
Round,lv. 10,normal,special,60,100,15
Scary Face,lv. 12,normal,other,--,100,10
Bite,lv. 15,dark,physical,60,100,25
Incinerate,lv. 17,fire,special,60,100,15
Snarl,lv. 24,dark,special,55,95,15
Roar,lv. 28,normal,other,--,101,20
Flamethrower,lv. 32,fire,special,90,100,15
Shadow Ball,lv. 38,ghost,special,80,100,15
Hyper Voice,lv. 42,normal,special,90,100,10
Will-O-Wisp,lv. 47,fire,other,--,85,15
Hex,lv. 47,ghost,special,65,100,10
Fire Blast,lv. 58,fire,special,110,85,5
Overheat,lv. 64,fire,special,130,90,5
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Fire Fang,TM008,fire,physical,65,95,15
Thunder Fang,TM009,electric,physical,65,95,15
Disarming Voice,TM019,fairy,special,40,101,15
Fire Spin,TM024,fire,special,35,85,15
Facade,TM025,normal,physical,70,100,20
Hex,TM029,ghost,special,65,100,10
Snarl,TM030,dark,special,55,95,15
Flame Charge,TM038,fire,physical,50,100,20
Night Shade,TM042,ghost,special,??,100,15
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Zen Headbutt,TM059,psychic,physical,80,90,15
Shadow Claw,TM061,ghost,physical,70,100,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Imprison,TM092,psychic,other,--,101,10
Substitute,TM103,normal,other,--,101,10
Will-O-Wisp,TM107,fire,other,--,85,15
Crunch,TM108,dark,physical,80,100,15
Shadow Ball,TM114,ghost,special,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Heat Wave,TM118,fire,special,95,90,10
Encore,TM122,normal,other,--,100,5
Flamethrower,TM125,fire,special,90,100,15
Helping Hand,TM130,normal,other,--,101,20
Earth Power,TM133,ground,special,90,100,10
Fire Blast,TM141,fire,special,110,85,5
Fire Pledge,TM144,fire,special,80,100,10
Earthquake,TM149,ground,physical,100,100,10
Giga Impact,TM152,normal,physical,150,90,5
Blast Burn,TM153,fire,special,150,90,5
Outrage,TM156,dragon,physical,120,100,10
Overheat,TM157,fire,special,130,90,5
Hyper Beam,TM163,normal,special,150,90,5
Flare Blitz,TM165,fire,physical,120,100,15
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Heat Crash,TM189,fire,physical,??,100,10
Poltergeist,TM198,ghost,physical,110,90,5
Temper Flare,TM207,fire,physical,75,100,10
Scorching Sands,TM215,ground,special,70,100,10
Curse,TM224,ghost,other,--,101,10
Alluring Voice,TM227,fairy,special,80,100,10
