name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Smokescreen,nature,normal,other,--,100,20
Acid,lv. 5,poison,special,40,100,30
Water Gun,lv. 10,water,special,40,100,25
Tail Whip,lv. 15,normal,other,--,100,30
Double Team,lv. 20,normal,other,--,101,15
Poison Tail,lv. 25,poison,physical,50,100,25
Water Pulse,lv. 30,water,special,60,100,20
Toxic,lv. 35,poison,other,--,90,10
Dragon Pulse,lv. 40,dragon,special,85,100,10
Aqua Tail,lv. 45,water,physical,90,90,10
Sludge Bomb,lv. 50,poison,special,90,100,10
Hydro Pump,lv. 55,water,special,110,80,5
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Water Pulse,TM011,water,special,60,100,20
Acid Spray,TM013,poison,special,40,100,20
Thief,TM018,dark,physical,60,100,25
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Poison Tail,TM026,poison,physical,50,100,25
Icy Wind,TM034,ice,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Dragon Tail,TM044,dragon,physical,60,90,10
Venoshock,TM045,poison,special,65,100,10
Endure,TM047,normal,other,--,101,10
Rain Dance,TM050,water,other,--,101,5
Snowscape,TM052,ice,other,--,101,10
Sleep Talk,TM070,normal,other,--,101,10
Waterfall,TM077,water,physical,80,100,15
Rest,TM085,psychic,other,--,101,5
Toxic Spikes,TM091,poison,other,--,101,20
Gunk Shot,TM102,poison,physical,120,80,5
Substitute,TM103,normal,other,--,101,10
Liquidation,TM110,water,physical,85,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Dragon Pulse,TM115,dragon,special,85,100,10
Surf,TM123,water,special,90,100,15
Thunderbolt,TM126,electric,special,90,100,15
Play Rough,TM127,fairy,physical,90,90,10
Hydro Pump,TM142,water,special,110,80,5
Sludge Bomb,TM148,poison,special,90,100,10
Outrage,TM156,dragon,physical,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Haze,TM174,ice,other,--,101,30
Toxic,TM175,poison,other,--,90,10
Spite,TM177,ghost,other,--,100,10
Flip Turn,TM196,water,physical,60,100,20
Scale Shot,TM200,dragon,physical,25,90,20
Whirlpool,TM208,water,special,35,85,15
Muddy Water,TM209,water,special,90,85,10
Sludge Wave,TM214,poison,special,95,100,10
