name,source,type,category,power,accuracy,pp
Flamethrower,lv. Evolve,fire,special,90,100,15
Scratch,nature,normal,physical,40,100,35
Smokescreen,nature,normal,other,--,100,20
Poison Gas,nature,poison,other,--,90,40
Feint,nature,normal,physical,30,100,10
Fury Swipes,lv. 12,normal,physical,18,80,15
Focus Energy,lv. 15,normal,other,--,101,30
Bite,lv. 18,dark,physical,60,100,25
Venoshock,lv. 21,poison,special,65,100,10
Screech,lv. 24,normal,other,--,85,40
Toxic,lv. 27,poison,other,--,90,10
Sucker Punch,lv. 30,dark,physical,70,100,5
Memento,lv. 33,dark,other,--,100,10
Night Slash,lv. 38,dark,physical,70,100,15
Belch,lv. 43,poison,special,120,90,10
Explosion,lv. 48,normal,physical,250,100,5
Take Down,TM001,normal,physical,90,85,20
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Acid Spray,TM013,poison,special,40,100,20
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Fire Spin,TM024,fire,special,35,85,15
Facade,TM025,normal,physical,70,100,20
Poison Tail,TM026,poison,physical,50,100,25
Hex,TM029,ghost,special,65,100,10
Snarl,TM030,dark,special,55,95,15
Swift,TM032,normal,special,60,101,20
Venoshock,TM045,poison,special,65,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Shadow Claw,TM061,ghost,physical,70,100,15
Foul Play,TM062,dark,physical,95,100,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Poison Jab,TM083,poison,physical,80,100,20
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Toxic Spikes,TM091,poison,other,--,101,20
Dark Pulse,TM094,dark,special,80,100,15
Gunk Shot,TM102,poison,physical,120,80,5
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Shadow Ball,TM114,ghost,special,80,100,15
Flamethrower,TM125,fire,special,90,100,15
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Nasty Plot,TM140,dark,other,--,101,20
Fire Blast,TM141,fire,special,110,85,5
Sludge Bomb,TM148,poison,special,90,100,10
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Haze,TM174,ice,other,--,101,30
Toxic,TM175,poison,other,--,90,10
Knock Off,TM181,dark,physical,65,100,20
Super Fang,TM183,normal,physical,??,90,10
Burning Jealousy,TM195,fire,special,70,100,5
Lash Out,TM199,dark,physical,75,100,5
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Temper Flare,TM207,fire,physical,75,100,10
Sludge Wave,TM214,poison,special,95,100,10
Throat Chop,TM221,dark,physical,80,100,15
