name,source,type,category,power,accuracy,pp
Scratch,nature,normal,physical,40,100,35
Yawn,nature,normal,other,--,101,10
Encore,lv. 6,normal,other,--,100,5
Slack Off,lv. 9,normal,other,--,101,5
Headbutt,lv. 14,normal,physical,70,100,15
Amnesia,lv. 17,psychic,other,--,101,20
Covet,lv. 22,normal,physical,60,100,25
Throat Chop,lv. 25,dark,physical,80,100,15
Counter,lv. 30,fighting,physical,??,100,20
Flail,lv. 33,normal,physical,??,100,15
Play Rough,lv. 38,fairy,physical,90,90,10
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Thief,TM018,dark,physical,60,100,25
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Metal Claw,TM031,steel,physical,50,95,35
Icy Wind,TM034,ice,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
False Swipe,TM057,normal,physical,40,100,40
Brick Break,TM058,fighting,physical,75,100,15
Zen Headbutt,TM059,psychic,physical,80,90,15
Shadow Claw,TM061,ghost,physical,70,100,15
Bulk Up,TM064,fighting,other,--,101,20
Body Slam,TM066,normal,physical,85,100,15
Fire Punch,TM067,fire,physical,75,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Metronome,TM080,normal,other,--,101,10
Poison Jab,TM083,poison,physical,80,100,20
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Gunk Shot,TM102,poison,physical,120,80,5
Substitute,TM103,normal,other,--,101,10
X-Scissor,TM105,bug,physical,80,100,15
Shadow Ball,TM114,ghost,special,80,100,15
Encore,TM122,normal,other,--,100,5
Flamethrower,TM125,fire,special,90,100,15
Thunderbolt,TM126,electric,special,90,100,15
Play Rough,TM127,fairy,physical,90,90,10
Amnesia,TM128,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Ice Beam,TM135,ice,special,90,100,10
Fire Blast,TM141,fire,special,110,85,5
Blizzard,TM143,ice,special,110,70,5
Thunder,TM166,electric,special,110,70,10
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Focus Punch,TM192,fighting,physical,150,100,20
Throat Chop,TM221,dark,physical,80,100,15
Curse,TM224,ghost,other,--,101,10
