name,source,type,category,power,accuracy,pp
Withdraw,nature,water,other,--,101,40
Tackle,nature,normal,physical,40,100,35
Growl,nature,normal,other,--,100,40
Water Gun,nature,water,special,40,100,25
Curse,nature,ghost,other,--,101,10
Yawn,lv. 9,normal,other,--,101,10
Confusion,lv. 12,psychic,special,50,100,25
Disable,lv. 15,normal,other,--,100,20
Water Pulse,lv. 18,water,special,60,100,20
Headbutt,lv. 21,normal,physical,70,100,15
Zen Headbutt,lv. 24,psychic,physical,80,90,15
Amnesia,lv. 27,psychic,other,--,101,20
Surf,lv. 30,water,special,90,100,15
Slack Off,lv. 33,normal,other,--,101,5
Psychic,lv. 36,psychic,special,90,100,10
Psych Up,lv. 41,normal,other,--,101,10
Rain Dance,lv. 46,water,other,--,101,5
Heal Pulse,lv. 51,psychic,other,--,101,10
Take Down,TM001,normal,physical,90,85,20
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Ice Fang,TM010,ice,physical,65,95,15
Water Pulse,TM011,water,special,60,100,20
Acid Spray,TM013,poison,special,40,100,20
Psybeam,TM016,psychic,special,65,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Stored Power,TM041,psychic,special,20,100,10
Fling,TM043,dark,physical,??,100,10
Venoshock,TM045,poison,special,65,100,10
Avalanche,TM046,ice,physical,60,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Snowscape,TM052,ice,other,--,101,10
Psyshock,TM054,psychic,special,80,100,10
Dig,TM055,ground,physical,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Zen Headbutt,TM059,psychic,physical,80,90,15
Foul Play,TM062,dark,physical,95,100,15
Body Slam,TM066,normal,physical,85,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Drain Punch,TM073,fighting,physical,75,100,10
Light Screen,TM075,psychic,other,--,101,30
Rock Blast,TM076,rock,physical,25,90,10
Waterfall,TM077,water,physical,80,100,15
Metronome,TM080,normal,other,--,101,10
Grass Knot,TM081,grass,special,??,100,20
Thunder Wave,TM082,electric,other,--,90,20
Poison Jab,TM083,poison,physical,80,100,20
Rest,TM085,psychic,other,--,101,5
Body Press,TM089,fighting,physical,80,100,10
Imprison,TM092,psychic,other,--,101,10
Skill Swap,TM098,psychic,other,--,101,10
Power Gem,TM101,rock,special,80,100,20
Gunk Shot,TM102,poison,physical,120,80,5
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Trick,TM109,psychic,other,--,100,10
Liquidation,TM110,water,physical,85,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Psychic,TM120,psychic,special,90,100,10
Surf,TM123,water,special,90,100,15
Flamethrower,TM125,fire,special,90,100,15
Amnesia,TM128,psychic,other,--,101,20
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Ice Beam,TM135,ice,special,90,100,10
Psychic Terrain,TM138,psychic,other,--,101,10
Nasty Plot,TM140,dark,other,--,101,20
Fire Blast,TM141,fire,special,110,85,5
Hydro Pump,TM142,water,special,110,80,5
Blizzard,TM143,ice,special,110,70,5
Sludge Bomb,TM148,poison,special,90,100,10
Earthquake,TM149,ground,physical,100,100,10
Giga Impact,TM152,normal,physical,150,90,5
Focus Blast,TM158,fighting,special,120,70,5
Trick Room,TM161,psychic,other,--,101,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Haze,TM174,ice,other,--,101,30
Toxic,TM175,poison,other,--,90,10
Smack Down,TM179,rock,physical,50,100,15
Scald,TM188,water,special,80,100,15
Focus Punch,TM192,fighting,physical,150,100,20
Weather Ball,TM193,normal,special,50,100,10
Psych Up,TM203,normal,other,--,101,10
Double-Edge,TM204,normal,physical,120,100,15
Whirlpool,TM208,water,special,35,85,15
Muddy Water,TM209,water,special,90,85,10
Sludge Wave,TM214,poison,special,95,100,10
Future Sight,TM217,psychic,special,120,100,10
Expanding Force,TM218,psychic,special,80,100,10
Curse,TM224,ghost,other,--,101,10
Psychic Noise,TM228,psychic,special,75,100,10
